ID,TEAM,GP,W,L,PTS,REB,AST,TOV,STL,BLK,+/-
ATL,Atlanta Hawks,72,41,31,113.7,45.6,24.1,13.2,7.0,4.8,2.3
BOS,Boston Celtics,72,36,36,112.6,44.3,23.5,14.1,7.7,5.3,1.5
BKN,Brooklyn Nets,72,48,24,118.6,44.4,26.8,13.5,6.7,5.3,4.5
CHA,Charlotte Hornets,72,33,39,109.5,43.8,26.8,14.8,7.8,4.8,-1.9
CHI,Chicago Bulls,72,31,41,110.7,45.0,26.8,15.1,6.7,4.2,-0.9
CLE,Cleveland Cavaliers,72,22,50,103.8,42.8,23.8,15.5,7.8,4.5,-8.4
DAL,Dallas Mavericks,72,42,30,112.4,43.3,22.9,12.1,6.3,4.3,2.3
DEN,Denver Nuggets,72,47,25,115.1,44.4,26.8,13.5,8.1,4.5,4.9
DET,Detroit Pistons,72,20,52,106.6,42.7,24.2,14.9,7.4,5.2,-4.5
GSW,Golden State Warriors,72,39,33,113.7,43.0,27.7,15.0,8.2,4.8,1.1
HOU,Houston Rockets,72,17,55,108.8,42.6,23.6,14.7,7.6,5.0,-7.9
IND,Indiana Pacers,72,34,38,115.3,42.7,27.4,13.5,8.5,6.4,0.0
LAC,LA Clippers,72,47,25,114.0,44.2,24.4,13.2,7.1,4.1,6.2
LAL,Los Angeles Lakers,72,42,30,109.5,44.2,24.7,15.2,7.8,5.4,2.8
MEM,Memphis Grizzlies,72,38,34,113.3,46.5,26.9,13.3,9.1,5.1,1.0
MIA,Miami Heat,72,40,32,108.1,41.5,26.3,14.1,7.9,4.0,0.0
MIL,Milwaukee Bucks,72,46,26,120.1,48.1,25.5,13.8,8.1,4.6,5.9
MIN,Minnesota Timberwolves,72,23,49,112.1,43.5,25.6,14.3,8.8,5.5,-5.6
NOP,New Orleans Pelicans,72,31,41,114.6,47.4,26.0,14.6,7.6,4.4,-0.3
NYK,New York Knicks,72,41,31,107.0,45.1,21.4,12.9,7.0,5.1,2.3
OKC,Oklahoma City Thunder,72,22,50,105.0,45.6,22.1,16.1,7.0,4.4,-10.6
ORL,Orlando Magic,72,21,51,104.0,45.4,21.8,12.8,6.9,4.4,-9.3
PHI,Philadelphia 76ers,72,49,23,113.6,45.1,23.7,14.4,9.1,6.2,5.6
PHX,Phoenix Suns,72,51,21,115.3,42.9,26.9,12.5,7.2,4.3,5.8
POR,Portland Trail Blazers,72,42,30,116.1,44.5,21.3,11.1,6.9,5.0,1.8
SAC,Sacramento Kings,72,31,41,113.7,41.4,25.5,13.4,7.5,5.0,-3.7
SAS,San Antonio Spurs,72,33,39,111.1,43.9,24.4,11.4,7.0,5.1,-1.7
TOR,Toronto Raptors,72,27,45,111.3,41.6,24.1,13.2,8.6,5.4,-0.5
UTA,Utah Jazz,72,52,20,116.4,48.3,23.7,14.2,6.6,5.2,9.3
WAS,Washington Wizards,72,34,38,116.6,45.2,25.5,14.4,7.3,4.1,-1.8
