PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER
Danuel House Jr.,UTA,28,6-6,220,Texas A&M,USA,Undrafted,Undrafted,Undrafted
Darius Bazley,OKC,21,6-8,208,None,USA,2019,1,23
Darius Garland,CLE,22,6-1,192,Vanderbilt,USA,2019,1,5
Darren Collison,LAL,34,6-0,160,UCLA,USA,2009,1,21
David Duke Jr.,BKN,22,6-4,204,Providence,USA,Undrafted,Undrafted,Undrafted
David Johnson,TOR,21,6-4,203,Louisville,USA,2021,2,47
David Nwaba,HOU,29,6-5,219,Cal Poly,USA,Undrafted,Undrafted,Undrafted
Davion Mitchell,SAC,23,6-0,202,Baylor,USA,2021,1,9
Davis Bertans,DAL,29,6-10,225,None,Latvia,2011,2,42
Davon Reed,DEN,26,6-5,206,Miami,USA,2017,2,32
Day'Ron Sharpe,BKN,20,6-9,265,North Carolina,USA,2021,1,29
De'Aaron Fox,SAC,24,6-3,185,Kentucky,USA,2017,1,5
De'Andre Hunter,ATL,24,6-8,221,Virginia,USA,2019,1,4
De'Anthony Melton,MEM,23,6-2,200,Southern California,USA,2018,2,46
DeAndre Jordan,PHI,33,6-11,265,Texas A&M,USA,2008,2,35
DeAndre' Bembry,MIL,27,6-5,210,St. Joseph's (PA),USA,2016,1,21
DeJon Jarreau,IND,24,6-5,185,Houston,USA,Undrafted,Undrafted,Undrafted
DeMar DeRozan,CHI,32,6-6,220,Southern California,USA,2009,1,9
DeMarcus Cousins,DEN,31,6-10,270,Kentucky,USA,2010,1,5
Dean Wade,CLE,25,6-9,228,Kansas State,USA,Undrafted,Undrafted,Undrafted
Deandre Ayton,PHX,23,6-11,250,Arizona,Bahamas,2018,1,1
Deividas Sirvydis,DET,21,6-8,190,None,Lithuania,2019,2,37
Dejounte Murray,SAS,25,6-4,180,Washington,USA,2016,1,29
Delon Wright,ATL,30,6-5,185,Utah,USA,2015,1,20
Deni Avdija,WAS,21,6-9,210,None,Israel,2020,1,9
Dennis Schroder,HOU,28,6-1,172,None,Germany,2013,1,17
Dennis Smith Jr.,POR,24,6-2,205,North Carolina State,USA,2017,1,9
Denzel Valentine,UTA,28,6-4,220,Michigan State,USA,2016,1,14
Derrick Favors,OKC,30,6-9,265,Georgia Tech,USA,2010,1,3
Derrick Jones Jr.,CHI,25,6-6,210,UNLV,USA,Undrafted,Undrafted,Undrafted
Derrick Rose,NYK,33,6-2,200,Memphis,USA,2008,1,1
Derrick Walton Jr.,DET,27,6-0,185,Michigan,USA,Undrafted,Undrafted,Undrafted
Derrick White,BOS,27,6-4,190,Colorado,USA,2017,1,29
Desmond Bane,MEM,23,6-5,215,TCU,USA,2020,1,30
Devin Booker,PHX,25,6-5,206,Kentucky,USA,2015,1,13
Devin Cannady,ORL,25,6-2,183,Princeton,USA,2019,,
Devin Vassell,SAS,21,6-5,200,Florida State,USA,2020,1,11
Devon Dotson,CHI,22,6-1,185,Kansas,USA,Undrafted,Undrafted,Undrafted
Devontae Cacok,SAS,25,6-7,240,North Carolina-Wilmington,USA,Undrafted,Undrafted,Undrafted
Devonte' Graham,NOP,27,6-1,195,Kansas,USA,2018,2,34
Dewayne Dedmon,MIA,32,7-0,245,Southern California,USA,Undrafted,Undrafted,Undrafted
Didi Louzada,POR,22,6-5,188,None,Brazil,2019,2,35
Dillon Brooks,MEM,26,6-7,225,Oregon,Canada,2017,2,45
Domantas Sabonis,SAC,26,6-11,240,Gonzaga,Lithuania,2016,1,11
Donovan Mitchell,UTA,25,6-1,215,Louisville,USA,2017,1,13
Donte DiVincenzo,SAC,25,6-4,203,Villanova,USA,2018,1,17
Dorian Finney-Smith,DAL,29,6-7,220,Florida,USA,Undrafted,Undrafted,Undrafted
Doug McDermott,SAS,30,6-7,225,Creighton,USA,2014,1,11
Draymond Green,GSW,32,6-6,230,Michigan State,USA,2012,2,35
Drew Eubanks,POR,25,6-9,245,Oregon State,USA,Undrafted,Undrafted,Undrafted
Duane Washington Jr.,IND,22,6-3,197,Ohio State,Germany,Undrafted,Undrafted,Undrafted
Duncan Robinson,MIA,28,6-7,215,Michigan,USA,Undrafted,Undrafted,Undrafted
Dwight Howard,LAL,36,6-10,265,None,USA,2004,1,1
Dwight Powell,DAL,30,6-10,240,Stanford,Canada,2014,2,45
Dylan Windler,CLE,25,6-6,196,Belmont,USA,2019,1,26
Ed Davis,CLE,32,6-9,218,North Carolina,USA,2010,1,13
Elfrid Payton,PHX,28,6-3,195,Louisana-Lafayette,USA,2014,1,10
Elijah Hughes,POR,24,6-5,215,Syracuse,USA,2020,2,39
Emanuel Terry,PHX,25,6-9,220,Lincoln Memorial,USA,Undrafted,Undrafted,Undrafted
Emmanuel Mudiay,SAC,26,6-3,200,None,Democratic Re...,2015,1,7
Enes Freedom,BOS,29,6-10,250,None,Turkey,2011,1,3
Eric Bledsoe,POR,32,6-1,214,Kentucky,USA,2010,1,18
Eric Gordon,HOU,33,6-3,215,Indiana,USA,2008,1,7
Eric Paschall,UTA,25,6-6,255,Villanova,USA,2019,2,41
Eugene Omoruyi,DAL,25,6-6,235,Oregon,Nigeria,Undrafted,Undrafted,Undrafted
Evan Fournier,NYK,29,6-6,205,None,France,2012,1,20
Evan Mobley,CLE,20,6-11,215,Southern California,USA,2021,1,3
Facundo Campazzo,DEN,31,5-10,195,None,Argentina,Undrafted,Undrafted,Undrafted
Feron Hunt,NYK,22,6-8,195,Southern Methodist,USA,Undrafted,Undrafted,Undrafted
Frank Jackson,DET,24,6-3,205,Duke,USA,2017,2,31
Frank Kaminsky,PHX,29,7-0,240,Wisconsin,USA,2015,1,9
Frank Ntilikina,DAL,23,6-4,200,None,France,2017,1,8
Franz Wagner,ORL,20,6-10,220,Michigan,Germany,2021,1,8
Fred VanVleet,TOR,28,6-1,197,Wichita State,USA,Undrafted,Undrafted,Undrafted
Freddie Gillespie,ORL,24,6-9,245,Baylor,USA,Undrafted,Undrafted,Undrafted
Furkan Korkmaz,PHI,24,6-7,202,None,Turkey,2016,1,26
Gabe Vincent,MIA,25,6-3,200,California-Santa Barbara,USA,Undrafted,Undrafted,Undrafted
Gabe York,IND,28,6-3,190,Arizona,USA,Undrafted,Undrafted,Undrafted
Gabriel Deck,OKC,27,6-6,231,None,Argentina,Undrafted,Undrafted,Undrafted
Gabriel Lundberg,PHX,27,6-4,203,None,Denmark,Undrafted,Undrafted,Undrafted
Garrett Temple,NOP,36,6-5,195,Louisiana State,USA,Undrafted,Undrafted,Undrafted
Garrison Mathews,HOU,25,6-5,215,Lipscomb,USA,Undrafted,Undrafted,Undrafted
Gary Clark,NOP,27,6-6,225,Cincinnati,USA,Undrafted,Undrafted,Undrafted
Gary Harris,ORL,27,6-4,210,Michigan State,USA,2014,1,19
Gary Payton II,GSW,29,6-3,195,Oregon State,USA,Undrafted,Undrafted,Undrafted
Gary Trent Jr.,TOR,23,6-5,209,Duke,USA,2018,2,37
George Hill,MIL,36,6-4,188,Indiana-Purdue Indianapolis,USA,2008,1,26
George King,DAL,28,6-6,220,University of Colorado Boulder,USA,2018,2,59
Georges Niang,PHI,28,6-7,230,Iowa State,USA,2016,2,50
Georgios Kalaitzakis,OKC,23,6-7,192,None,Greece,2021,2,60
Giannis Antetokounmpo,MIL,27,6-11,242,None,Greece,2013,1,15
Goga Bitadze,IND,22,7-0,250,None,Georgia,2019,1,18
Goran Dragic,BKN,36,6-3,190,None,Slovenia,2008,2,45
Gordon Hayward,CHA,32,6-7,225,Butler,USA,2010,1,9
Gorgui Dieng,ATL,32,6-10,248,Louisville,Senegal,2013,1,21
Grant Williams,BOS,23,6-6,236,Tennessee,USA,2019,1,22
Grayson Allen,MIL,26,6-4,198,Duke,USA,2018,1,21
Greg Brown III,POR,20,6-7,206,Texas-Austin,USA,2021,2,43
Greg Monroe,MIN,31,6-10,250,Georgetown,USA,2010,1,7
Hamidou Diallo,DET,23,6-5,202,Kentucky,USA,2018,2,45
Harrison Barnes,SAC,29,6-8,225,North Carolina,USA,2012,1,7
Hassan Whiteside,UTA,32,7-0,265,Marshall,USA,2010,2,33
Hassani Gravett,ORL,25,6-2,187,South Carolina,USA,2019,,
Haywood Highsmith,MIA,25,6-4,220,Wheeling Jesuit,USA,2018,,
Herbert Jones,NOP,23,6-7,206,Alabama,USA,2021,2,35
Ignas Brazdeikis,ORL,23,6-6,221,Michigan,Canada,2019,2,47
Immanuel Quickley,NYK,22,6-3,190,Kentucky,USA,2020,1,25
Isaac Bonga,TOR,22,6-8,180,None,Germany,2018,2,39
Isaac Okoro,CLE,21,6-5,225,Auburn,USA,2020,1,5
Isaiah Hartenstein,LAC,24,7-0,250,None,Germany,2017,2,43
Isaiah Jackson,IND,20,6-10,205,Kentucky,USA,2021,1,22
Isaiah Joe,PHI,22,6-4,165,Arkansas,USA,2020,2,49
Isaiah Livers,DET,23,6-6,232,Michigan,USA,2021,2,42
Isaiah Roby,OKC,24,6-8,230,Nebraska-Lincoln,USA,2019,2,45
Isaiah Stewart,DET,20,6-8,250,Washington,USA,2020,1,16
Isaiah Thomas,CHA,33,5-9,185,Washington,USA,2011,2,60
Isaiah Todd,WAS,20,6-9,219,None,USA,2021,2,31
Ish Smith,WAS,33,6-0,175,Wake Forest,USA,Undrafted,Undrafted,Undrafted
Ish Wainright,PHX,27,6-5,250,Baylor,USA,Undrafted,Undrafted,Undrafted
Ivica Zubac,LAC,25,7-0,240,None,Croatia,2016,2,32
JT Thor,CHA,19,6-9,203,Auburn,USA,2021,2,37
Ja Morant,MEM,22,6-3,174,Murray State,USA,2019,1,2
JaMychal Green,DEN,31,6-8,227,Alabama,USA,Undrafted,Undrafted,Undrafted
JaQuori McLaughlin,DAL,24,6-4,190,Cal-Santa Barbara,USA,Undrafted,Undrafted,Undrafted
JaVale McGee,PHX,34,7-0,270,Nevada-Reno,USA,2008,1,18
Jabari Parker,BOS,27,6-7,245,Duke,USA,2014,1,2
Jaden McDaniels,MIN,21,6-9,185,Washington,USA,2020,1,28
Jaden Springer,PHI,19,6-4,202,Tennessee,USA,2021,1,28
Jae Crowder,PHX,31,6-6,235,Marquette,USA,2012,2,34
Jae'Sean Tate,HOU,26,6-4,230,Ohio State,USA,Undrafted,Undrafted,Undrafted
Jahmi'us Ramsey,SAC,20,6-3,190,Texas Tech,USA,2020,2,43
Jaime Echenique,WAS,25,6-10,258,Wichita State,Colombia,Undrafted,Undrafted,Undrafted
Jake Layman,MIN,28,6-8,209,Maryland,USA,2016,2,47
Jakob Poeltl,SAS,26,7-1,245,Utah,Austria,2016,1,9
Jalen Brunson,DAL,25,6-1,190,Villanova,USA,2018,2,33
Jalen Green,HOU,20,6-4,186,None,USA,2021,1,2
Jalen Johnson,ATL,20,6-8,219,Duke,USA,2021,1,20
Jalen McDaniels,CHA,24,6-9,205,San Diego State,USA,2019,2,52
Jalen Smith,IND,22,6-10,215,Maryland,USA,2020,1,10
Jalen Suggs,ORL,20,6-5,205,Gonzaga,USA,2021,1,5
James Bouknight,CHA,21,6-4,190,Connecticut,USA,2021,1,11
James Ennis III,DEN,31,6-6,215,Cal State-Long Beach,USA,2013,2,50
James Harden,PHI,32,6-5,220,Arizona State,USA,2009,1,3
James Johnson,BKN,35,6-7,240,Wake Forest,USA,2009,1,16
Jamorko Pickett,DET,24,6-9,206,Georgetown,USA,Undrafted,Undrafted,Undrafted
Jared Butler,UTA,21,6-3,193,Baylor,USA,2021,2,40
Jared Harper,NOP,24,5-10,175,Auburn,USA,Undrafted,Undrafted,Undrafted
Jaren Jackson Jr.,MEM,22,6-11,242,Michigan State,USA,2018,1,4
Jarred Vanderbilt,MIN,23,6-9,214,Kentucky,USA,2018,2,41
Jarrett Allen,CLE,24,6-10,243,Texas-Austin,USA,2017,1,22
Jarrett Culver,MEM,23,6-6,195,Texas Tech,USA,2019,1,6
Jarron Cumberland,POR,24,6-5,205,Cincinnati,USA,Undrafted,Undrafted,Undrafted
Javin DeLaurier,MIL,24,6-10,234,Duke,USA,Undrafted,Undrafted,Undrafted
Javonte Green,CHI,28,6-5,205,Radford,USA,Undrafted,Undrafted,Undrafted
Javonte Smart,MIA,22,6-4,205,Louisiana State,USA,Undrafted,Undrafted,Undrafted
Jaxson Hayes,NOP,21,6-11,220,Texas-Austin,USA,2019,1,8
Jay Huff,LAL,24,7-1,240,Virginia,USA,Undrafted,Undrafted,Undrafted
Jay Scrubb,LAC,21,6-5,220,John A. Logan,USA,2020,2,55
Jaylen Brown,BOS,25,6-6,223,California,USA,2016,1,3
Jaylen Hoard,OKC,23,6-8,216,Wake Forest,France,Undrafted,Undrafted,Undrafted
Jaylen Morris,SAS,26,6-5,185,Molloy,USA,Undrafted,Undrafted,Undrafted
Jaylen Nowell,MIN,22,6-4,201,Washington,USA,2019,2,43
Jaysean Paige,DET,27,6-2,200,West Virginia,USA,Undrafted,Undrafted,Undrafted
Jayson Tatum,BOS,24,6-8,210,Duke,USA,2017,1,3
Jeff Dowtin,ORL,25,6-3,177,Rhode Island,USA,Undrafted,Undrafted,Undrafted
Jeff Green,DEN,35,6-8,235,Georgetown,USA,2007,1,5
Jemerrio Jones,LAL,27,6-5,175,New Mexico State,USA,2018,,
Jerami Grant,DET,28,6-8,210,Syracuse,USA,2014,2,39
Jeremiah Robinson-Earl,OKC,21,6-8,242,Villanova,USA,2021,2,32
Jeremy Lamb,SAC,29,6-5,180,Connecticut,USA,2012,1,12
Jericho Sims,NYK,23,6-9,250,Texas-Austin,USA,2021,2,58
Jevon Carter,MIL,26,6-1,200,West Virginia,USA,2018,2,32
Jimmy Butler,MIA,32,6-7,230,Marquette,USA,2011,1,30
Jock Landale,SAS,26,6-11,255,None,Australia,Undrafted,Undrafted,Undrafted
Joe Harris,BKN,30,6-6,220,Virginia,USA,2014,2,33
Joe Ingles,POR,34,6-8,220,None,Australia,Undrafted,Undrafted,Undrafted
Joe Johnson,BOS,40,6-7,240,Arkansas,USA,2001,1,10
Joe Wieskamp,SAS,22,6-6,205,Iowa,USA,2021,2,41
Joel Ayayi,WAS,22,6-4,180,Gonzaga,France,Undrafted,Undrafted,Undrafted
Joel Embiid,PHI,28,7-0,280,Kansas,Cameroon,2014,1,3
John Collins,ATL,24,6-9,226,Wake Forest,USA,2017,1,19
John Konchar,MEM,26,6-5,210,Indiana-Purdue Fort Wayne,USA,Undrafted,Undrafted,Undrafted
Jon Teske,MEM,25,7-1,265,Michigan,USA,Undrafted,Undrafted,Undrafted
Jonas Valanciunas,NOP,30,6-11,265,None,Lithuania,2011,1,5
Jonathan Kuminga,GSW,19,6-7,225,None,DRC,2021,1,7
Jordan Bell,CHI,27,6-7,216,Oregon,USA,2017,2,38
Jordan Clarkson,UTA,29,6-4,194,Missouri,USA,2014,2,46
Jordan Goodwin,WAS,23,6-3,200,St. Louis,USA,Undrafted,Undrafted,Undrafted
Jordan McLaughlin,MIN,26,5-11,185,Southern California,USA,Undrafted,Undrafted,Undrafted
Jordan Nwora,MIL,23,6-8,225,Louisville,USA,2020,2,45
Jordan Poole,GSW,22,6-4,194,Michigan,USA,2019,1,28
Jordan Schakel,WAS,23,6-6,200,San Diego State,USA,Undrafted,Undrafted,Undrafted
Jose Alvarado,NOP,24,6-0,179,Georgia Tech,USA,Undrafted,Undrafted,Undrafted
Josh Christopher,HOU,20,6-3,215,Arizona State,USA,2021,1,24
Josh Giddey,OKC,19,6-8,205,None,Australia,2021,1,6
Josh Green,DAL,21,6-5,200,Arizona,Australia,2020,1,18
Josh Hart,POR,27,6-5,215,Villanova,USA,2017,1,30
Josh Jackson,SAC,25,6-8,207,Kansas,USA,2017,1,4
Josh Okogie,MIN,23,6-4,213,Georgia Tech,Nigeria,2018,1,20
Josh Richardson,SAS,28,6-5,200,Tennessee,USA,2015,2,40
Joshua Primo,SAS,19,6-4,189,Alabama,Canada,2021,1,12
Jrue Holiday,MIL,31,6-3,205,UCLA,USA,2009,1,17
Juan Toscano-Anderson,GSW,29,6-6,209,Marquette,USA,Undrafted,Undrafted,Undrafted
Juancho Hernangomez,UTA,26,6-9,214,None,Spain,2016,1,15
Julius Randle,NYK,27,6-8,250,Kentucky,USA,2014,1,7
Justin Anderson,IND,28,6-5,231,Virginia,USA,2015,1,21
Justin Champagnie,TOR,20,6-6,206,Pittsburgh,USA,Undrafted,Undrafted,Undrafted
Justin Holiday,SAC,33,6-6,180,Washington,USA,Undrafted,Undrafted,Undrafted
Justin Jackson,PHX,27,6-8,220,North Carolina,USA,2017,1,15
Justin Robinson,DET,24,6-1,195,Virginia Tech,USA,2019,,
Justise Winslow,POR,26,6-6,222,Duke,USA,2015,1,10
Jusuf Nurkic,POR,27,6-11,290,None,Bosnia and He...,2014,1,16
Juwan Morgan,BOS,25,6-7,232,Indiana,USA,Undrafted,Undrafted,Undrafted
KZ Okpala,MIA,23,6-8,215,Stanford,USA,2019,2,32
Kai Jones,CHA,21,6-10,221,Texas-Austin,Bahamas,2021,1,19
Karl-Anthony Towns,MIN,26,6-11,248,Kentucky,USA,2015,1,1
Keifer Sykes,IND,28,5-11,167,Wisc.-Green Bay,USA,Undrafted,Undrafted,Undrafted
Keita Bates-Diop,SAS,26,6-8,229,Ohio State,USA,2018,2,48
Kelan Martin,BOS,26,6-5,230,Butler,USA,Undrafted,Undrafted,Undrafted
Keldon Johnson,SAS,22,6-6,220,Kentucky,USA,2019,1,29
Keljin Blevins,POR,26,6-4,200,Montana State,USA,2019,,
Kelly Olynyk,DET,31,6-11,240,Gonzaga,Canada,2013,1,13
Kelly Oubre Jr.,CHA,26,6-6,203,Kansas,USA,2015,1,15
Kemba Walker,NYK,32,6-0,184,Connecticut,USA,2011,1,9
Kenrich Williams,OKC,27,6-6,210,TCU,USA,Undrafted,Undrafted,Undrafted
Kent Bazemore,LAL,32,6-4,195,Old Dominion,USA,Undrafted,Undrafted,Undrafted
Kentavious Caldwell-Pope,WAS,29,6-5,204,Georgia,USA,2013,1,8
Kenyon Martin Jr.,HOU,21,6-5,215,None,USA,2020,2,52
Keon Johnson,POR,20,6-4,185,Tennessee,USA,2021,1,21
Kessler Edwards,BKN,21,6-7,203,Pepperdine,USA,2021,2,44
Kevin Durant,BKN,33,6-10,240,Texas-Austin,USA,2007,1,2
Kevin Huerter,ATL,23,6-7,198,Maryland,USA,2018,1,19
Kevin Knox II,ATL,22,6-7,215,Kentucky,USA,2018,1,9
Kevin Love,CLE,33,6-8,251,UCLA,USA,2008,1,5
