PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER
Aaron Gordon,DEN,26,6-8,235,Arizona,USA,2014,1,4
Aaron Henry,PHI,22,6-5,210,Michigan State,USA,Undrafted,Undrafted,Undrafted
Aaron Holiday,PHX,25,6-0,185,UCLA,USA,2018,1,23
Aaron Nesmith,BOS,22,6-5,215,Vanderbilt,USA,2020,1,14
Aaron Wiggins,OKC,23,6-4,190,Maryland,USA,2021,2,55
Abdel Nader,PHX,28,6-5,225,Iowa State,Egypt,2016,2,58
Ade Murkey,SAC,24,6-5,200,Denver,USA,Undrafted,Undrafted,Undrafted
Admiral Schofield,ORL,25,6-5,241,Tennessee,United Kingdo...,2019,2,42
Ahmad Caver,IND,25,6-2,174,Old Dominion,USA,2019,,
Al Horford,BOS,35,6-9,240,Florida,Dominican Rep...,2007,1,3
Alec Burks,NYK,30,6-6,214,Colorado,USA,2011,1,12
Aleem Ford,ORL,24,6-8,220,Wisconsin,USA,Undrafted,Undrafted,Undrafted
Aleksej Pokusevski,OKC,20,7-0,190,None,Serbia,2020,1,17
Alex Caruso,CHI,28,6-5,186,Texas A&M,USA,Undrafted,Undrafted,Undrafted
Alex Len,SAC,28,7-0,250,Maryland,Ukraine,2013,1,5
Alfonzo McKinnie,CHI,29,6-7,215,Wisc.-Green Bay,USA,Undrafted,Undrafted,Undrafted
Alize Johnson,NOP,26,6-8,212,Missouri State,USA,2018,2,50
Alperen Sengun,HOU,19,6-10,243,None,Turkey,2021,1,16
Amir Coffey,LAC,24,6-7,210,Minnesota,USA,Undrafted,Undrafted,Undrafted
Andre Drummond,BKN,28,6-10,279,Connecticut,USA,2012,1,9
Andre Iguodala,GSW,38,6-6,215,Arizona,USA,2004,1,9
Andrew Wiggins,GSW,27,6-7,197,Kansas,Canada,2014,1,1
Anfernee Simons,POR,22,6-3,181,None,USA,2018,1,24
Anthony Davis,LAL,29,6-10,253,Kentucky,USA,2012,1,1
Anthony Edwards,MIN,20,6-4,225,Georgia,USA,2020,1,1
Anthony Gill,WAS,29,6-7,230,Virginia,USA,Undrafted,Undrafted,Undrafted
Anthony Lamb,HOU,24,6-6,227,Vermont,USA,Undrafted,Undrafted,Undrafted
Armoni Brooks,TOR,23,6-3,195,Houston,USA,2019,,
Arnoldas Kulboka,CHA,24,6-10,209,None,Lithuania,2018,2,55
Austin Reaves,LAL,23,6-5,197,Oklahoma,USA,Undrafted,Undrafted,Undrafted
Austin Rivers,DEN,29,6-4,200,Duke,USA,2012,1,10
Avery Bradley,LAL,31,6-3,180,Texas-Austin,USA,2010,1,19
Ayo Dosunmu,CHI,22,6-4,200,Illinois,USA,2021,2,38
BJ Johnson,ORL,26,6-6,200,La Salle,USA,Undrafted,Undrafted,Undrafted
Bam Adebayo,MIA,24,6-9,255,Kentucky,USA,2017,1,14
Ben McLemore,POR,29,6-3,195,Kansas,USA,2013,1,7
Bismack Biyombo,PHX,29,6-8,255,None,DRC,2011,1,7
Blake Griffin,BKN,33,6-9,250,Oklahoma,USA,2009,1,1
Boban Marjanovic,DAL,33,7-3,290,None,Serbia,Undrafted,Undrafted,Undrafted
Bobby Portis,MIL,27,6-10,250,Arkansas,USA,2015,1,22
Bogdan Bogdanovic,ATL,29,6-6,225,None,Serbia,2014,1,27
Bojan Bogdanovic,UTA,33,6-7,226,None,Croatia,2011,2,31
Bol Bol,ORL,22,7-2,220,Oregon,Sudan,2019,2,44
Bones Hyland,DEN,21,6-2,169,Virginia Commonwealth,USA,2021,1,26
Brad Wanamaker,WAS,32,6-3,210,Pittsburgh,USA,Undrafted,Undrafted,Undrafted
Bradley Beal,WAS,28,6-4,207,Florida,USA,2012,1,3
Brandon Boston Jr.,LAC,20,6-6,188,Kentucky,USA,2021,2,51
Brandon Clarke,MEM,25,6-8,215,Gonzaga,Canada,2019,1,21
Brandon Goodwin,CLE,26,6-0,180,Florida Gulf Coast,USA,Undrafted,Undrafted,Undrafted
Brandon Ingram,NOP,24,6-8,190,Duke,USA,2016,1,2
Brandon Knight,DAL,30,6-2,182,Kentucky,USA,2011,1,8
Brandon Williams,POR,22,6-2,190,Arizona,USA,Undrafted,Undrafted,Undrafted
Braxton Key,DET,25,6-8,225,Virginia,USA,Undrafted,Undrafted,Undrafted
Brodric Thomas,BOS,25,6-5,185,Truman State,USA,Undrafted,Undrafted,Undrafted
Brook Lopez,MIL,34,7-0,282,Stanford,USA,2008,1,10
Bruce Brown,BKN,25,6-4,202,Miami,USA,2018,2,42
Bruno Fernando,HOU,23,6-9,240,Maryland,Angola,2019,2,34
Bryn Forbes,DEN,28,6-2,205,Michigan State,USA,Undrafted,Undrafted,Undrafted
Buddy Hield,IND,29,6-4,220,Oklahoma,Bahamas,2016,1,6
CJ Elleby,POR,21,6-6,200,Washington State,USA,2020,2,46
CJ McCollum,NOP,30,6-3,190,Lehigh,USA,2013,1,10
CJ Miles,BOS,35,6-6,220,No College,USA,2005,2,34
Cade Cunningham,DET,20,6-6,220,Oklahoma State,USA,2021,1,1
Caleb Martin,MIA,26,6-5,205,Nevada-Reno,USA,Undrafted,Undrafted,Undrafted
Cam Reddish,NYK,22,6-8,217,Duke,USA,2019,1,10
Cam Thomas,BKN,20,6-3,210,Louisiana State,Japan,2021,1,27
Cameron Johnson,PHX,26,6-8,210,North Carolina,USA,2019,1,11
Cameron McGriff,POR,24,6-7,220,Oklahoma State,USA,Undrafted,Undrafted,Undrafted
Cameron Oliver,ATL,25,6-8,239,Nevada,USA,Undrafted,Undrafted,Undrafted
Cameron Payne,PHX,27,6-1,183,Murray State,USA,2015,1,14
Caris LeVert,CLE,27,6-6,205,Michigan,USA,2016,1,20
Carlik Jones,DEN,24,6-0,174,Louisville,USA,Undrafted,Undrafted,Undrafted
Carmelo Anthony,LAL,37,6-7,238,Syracuse,USA,2003,1,3
Carsen Edwards,DET,24,5-11,200,Purdue,USA,2019,2,33
Cassius Stanley,DET,22,6-5,190,Duke,USA,2020,2,54
Cassius Winston,WAS,24,6-1,185,Michigan State,USA,2020,2,53
Cat Barber,ATL,27,6-1,173,North Carolina State,USA,2016,,
Cedi Osman,CLE,27,6-7,230,None,Turkey,2015,2,31
Chandler Hutchison,PHX,26,6-6,210,Boise State,USA,2018,1,22
Charles Bassey,PHI,21,6-9,230,Western Kentucky,Nigeria,2021,2,53
Charlie Brown Jr.,PHI,25,6-6,199,St. Joseph's (PA),USA,Undrafted,Undrafted,Undrafted
Chaundee Brown Jr.,ATL,23,6-5,215,Michigan,USA,Undrafted,Undrafted,Undrafted
Cheick Diallo,DET,25,6-8,219,Kansas,Mali,2016,2,33
Chimezie Metu,SAC,25,6-9,225,Southern California,USA,2018,2,49
Chris Boucher,TOR,29,6-9,200,Oregon,Saint Lucia,Undrafted,Undrafted,Undrafted
Chris Chiozza,GSW,26,5-11,175,Florida,USA,Undrafted,Undrafted,Undrafted
Chris Duarte,IND,24,6-5,190,Oregon,Dominican Rep...,2021,1,13
Chris Paul,PHX,37,6-0,175,Wake Forest,USA,2005,1,4
Chris Silva,MIA,25,6-8,234,South Carolina,Gabon,Undrafted,Undrafted,Undrafted
Christian Wood,HOU,26,6-9,214,UNLV,USA,Undrafted,Undrafted,Undrafted
Chuma Okeke,ORL,23,6-6,229,Auburn,USA,2019,1,16
Clint Capela,ATL,27,6-10,256,None,Switzerland,2014,1,25
Coby White,CHI,22,6-4,195,North Carolina,USA,2019,1,7
Cody Martin,CHA,26,6-6,205,Nevada-Reno,USA,2019,2,36
Cody Zeller,POR,29,6-11,240,Indiana,USA,2013,1,4
Cole Anthony,ORL,21,6-3,185,North Carolina,USA,2020,1,15
Collin Sexton,CLE,23,6-1,190,Alabama,USA,2018,1,8
Corey Kispert,WAS,23,6-6,224,Gonzaga,USA,2021,1,15
Cory Joseph,DET,30,6-3,200,Texas-Austin,Canada,2011,1,29
Craig Sword,WAS,28,6-3,196,Mississippi State,USA,Undrafted,Undrafted,Undrafted
D'Angelo Russell,MIN,26,6-4,193,Ohio State,USA,2015,1,2
D.J. Augustin,LAL,34,5-11,183,Texas-Austin,USA,2008,1,9
D.J. Wilson,TOR,26,6-10,231,Michigan,USA,2017,1,17
DaQuan Jeffries,MEM,24,6-5,222,Tulsa,USA,Undrafted,Undrafted,Undrafted
Daishen Nix,HOU,20,6-4,226,None,USA,Undrafted,Undrafted,Undrafted
Dakota Mathias,MEM,26,6-4,200,Purdue,USA,2018,,
Dalano Banton,TOR,22,6-7,204,Nebraska,Canada,2021,2,46
Damian Jones,SAC,26,6-11,245,Vanderbilt,USA,2016,1,30
Damian Lillard,POR,31,6-2,195,Weber State,USA,2012,1,6
Damion Lee,GSW,29,6-5,210,Drexel,USA,Undrafted,Undrafted,Undrafted
Damyean Dotson,NYK,28,6-5,210,Houston,USA,2017,2,44
Daniel Gafford,WAS,23,6-9,234,Arkansas,USA,2019,2,38
Daniel Oturu,TOR,22,6-8,240,Minnesota,USA,2020,2,33
Daniel Theis,BOS,30,6-9,245,None,Germany,Undrafted,Undrafted,Undrafted
Danilo Gallinari,ATL,33,6-10,236,None,Italy,2008,1,6
Danny Green,PHI,34,6-6,215,North Carolina,USA,2009,2,46
