PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,REB,AST,TOV,STL,BLK,+/-
Aaron Gordon,ORL,24,62,30,32,32.5,14.4,7.7,3.7,1.6,0.8,0.6,-1.1
Aaron Holiday,IND,23,66,42,24,24.5,9.5,2.4,3.4,1.3,0.8,0.2,1.7
Abdel Nader,OKC,26,55,37,18,15.8,6.3,1.8,0.7,0.8,0.4,0.4,-1.5
Adam Mokoka,CHI,21,11,3,8,10.2,2.9,0.9,0.4,0.2,0.4,0.0,4.5
Admiral Schofield,WAS,23,33,9,24,11.2,3.0,1.4,0.5,0.2,0.2,0.1,-1.7
Al Horford,PHI,34,67,39,28,30.2,11.9,6.8,4.0,1.2,0.8,0.9,1.9
Alec Burks,PHI,28,66,21,45,26.6,15.0,4.3,2.9,1.4,0.9,0.3,-3.4
Alen Smailagic,GSW,19,14,1,13,9.9,4.2,1.9,0.9,0.8,0.2,0.3,-0.6
Alex Caruso,LAL,26,64,48,16,18.4,5.5,1.9,1.9,0.8,1.1,0.3,3.8
Alex Len,SAC,27,55,18,37,17.6,8.0,5.8,0.9,1.0,0.4,0.9,-2.0
Al-Farouq Aminu,ORL,29,18,7,11,21.1,4.3,4.8,1.2,0.9,1.0,0.4,-1.9
Alfonzo McKinnie,CLE,27,40,11,29,14.8,4.6,2.8,0.4,0.7,0.6,0.2,-2.3
Alize Johnson,IND,24,17,10,7,6.9,2.0,2.8,0.4,0.4,0.2,0.1,1.5
Allen Crabbe,MIN,28,37,5,32,17.6,4.6,2.1,0.9,0.5,0.4,0.1,-6.0
Allonzo Trier,NYK,24,24,2,22,12.1,6.5,1.2,1.2,0.9,0.1,0.2,-3.0
Amile Jefferson,ORL,27,18,5,13,4.1,0.8,1.3,0.2,0.2,0.1,0.2,1.0
Amir Coffey,LAC,23,18,11,7,8.8,3.2,0.9,0.8,0.4,0.3,0.1,-0.3
Andre Drummond,CLE,26,57,21,36,33.0,17.7,15.2,2.7,3.6,1.9,1.6,-3.4
Andre Iguodala,MIA,36,21,10,11,19.9,4.6,3.7,2.4,1.2,0.7,1.0,-1.2
Andre Roberson,OKC,28,7,3,4,12.4,2.9,3.9,0.6,0.3,0.1,0.4,-0.4
Andrew Wiggins,GSW,25,54,15,39,34.4,21.8,5.1,3.7,2.4,0.8,1.0,-3.7
Anfernee Simons,POR,21,70,32,38,20.7,8.3,2.2,1.4,0.9,0.4,0.1,-3.5
Ante Zizic,CLE,23,22,4,18,10.0,4.4,3.0,0.3,0.5,0.3,0.2,0.6
Anthony Davis,LAL,27,62,46,16,34.4,26.1,9.3,3.2,2.5,1.5,2.3,3.9
Anthony Tolliver,MEM,35,55,24,31,15.9,3.6,2.8,0.8,0.6,0.3,0.2,-1.9
Antonius Cleveland,DAL,26,11,6,5,4.2,1.0,0.6,0.1,0.2,0.1,0.3,-1.1
Anzejs Pasecniks,WAS,24,27,9,18,16.2,5.8,4.0,0.7,0.9,0.3,0.4,-0.1
Aron Baynes,PHX,33,42,19,23,22.2,11.5,5.6,1.6,1.2,0.2,0.5,-1.1
Austin Rivers,HOU,27,68,43,25,23.4,8.8,2.6,1.7,0.7,0.7,0.1,1.2
Avery Bradley,LAL,29,49,36,13,24.2,8.6,2.3,1.3,1.0,0.9,0.1,3.7
Bam Adebayo,MIA,22,72,44,28,33.6,15.9,10.2,5.1,2.8,1.1,1.3,3.4
Ben McLemore,HOU,27,71,44,27,22.8,10.1,2.2,0.8,0.7,0.6,0.2,2.6
Ben Simmons,PHI,23,57,35,22,35.4,16.4,7.8,8.0,3.5,2.1,0.6,1.1
Bismack Biyombo,CHA,27,53,18,35,19.4,7.4,5.8,0.9,0.9,0.2,0.9,-2.9
BJ Johnson,ORL,24,10,5,5,8.3,3.0,1.5,0.3,0.6,0.3,0.0,-0.9
Blake Griffin,DET,31,18,8,10,28.5,15.5,4.7,3.3,2.2,0.4,0.4,-1.4
Boban Marjanovic,DAL,31,44,21,23,9.6,6.6,4.5,0.5,0.7,0.2,0.2,1.1
Bobby Portis,NYK,25,66,21,45,21.1,10.1,5.1,1.5,1.1,0.5,0.3,-2.9
Bogdan Bogdanovic,SAC,27,61,29,32,28.9,15.1,3.4,3.4,1.7,1.0,0.2,-0.7
Bojan Bogdanovic,UTA,31,63,41,22,33.1,20.2,4.1,2.1,2.5,0.5,0.1,4.2
Bol Bol,DEN,20,7,2,5,12.4,5.7,2.7,0.9,1.4,0.3,0.9,-3.0
Brad Wanamaker,BOS,30,71,48,23,19.3,6.9,2.0,2.5,1.1,0.9,0.2,1.9
Bradley Beal,WAS,27,57,20,37,36.0,30.5,4.2,6.1,3.4,1.2,0.4,-3.5
Brandon Clarke,MEM,23,58,29,29,22.4,12.1,5.9,1.4,0.9,0.6,0.8,-0.3
Brandon Goodwin,ATL,24,34,13,21,12.7,6.1,2.1,1.5,0.9,0.4,0.1,-3.8
Brandon Ingram,NOP,22,62,25,37,33.9,23.8,6.1,4.2,3.0,1.0,0.6,-0.7
Brandon Knight,DET,28,25,4,21,18.5,7.3,1.6,2.8,1.5,0.4,0.1,-2.8
Brian Bowen II,IND,21,6,5,1,5.2,1.0,1.2,0.0,0.2,0.0,0.2,2.2
Brook Lopez,MIL,32,68,53,15,26.7,12.0,4.6,1.5,1.0,0.7,2.4,7.7
Bruce Brown,DET,23,58,18,40,28.2,8.9,4.7,4.0,1.7,1.1,0.5,-2.4
Bruno Caboclo,HOU,24,30,11,19,8.1,3.0,2.0,0.4,0.4,0.5,0.6,-1.1
Bruno Fernando,ATL,21,56,18,38,12.7,4.3,3.5,0.9,0.8,0.3,0.3,-1.7
Bryn Forbes,SAS,26,63,27,36,25.1,11.2,2.0,1.7,0.9,0.5,0.0,-3.4
Buddy Hield,SAC,27,72,31,41,30.8,19.2,4.6,3.0,2.3,0.9,0.2,-1.5
Caleb Martin,CHA,24,18,6,12,17.6,6.2,2.1,1.3,0.8,0.7,0.4,0.3
Caleb Swanigan,POR,23,27,12,15,10.7,2.4,3.7,1.1,1.4,0.1,0.3,-1.6
Cam Reddish,ATL,20,58,17,41,26.7,10.5,3.7,1.5,1.7,1.1,0.5,-4.2
