PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,REB,AST,TOV,STL,BLK,+/-
Cameron Johnson,PHX,24,57,28,29,22.0,8.8,3.3,1.2,0.6,0.6,0.4,0.2
Cameron Payne,PHX,25,8,8,0,22.9,10.9,3.9,3.0,1.4,1.0,0.3,11.1
Caris LeVert,BKN,25,45,21,24,29.6,18.7,4.2,4.4,2.6,1.2,0.2,-0.1
Carmelo Anthony,POR,36,58,28,30,32.8,15.4,6.3,1.5,1.7,0.8,0.5,0.3
Carsen Edwards,BOS,22,37,25,12,9.5,3.3,1.3,0.6,0.4,0.3,0.1,-1.3
Cedi Osman,CLE,25,65,19,46,29.4,11.0,3.6,2.4,1.4,0.8,0.2,-5.4
Chandler Hutchison,CHI,24,28,8,20,18.8,7.8,3.9,0.9,1.0,1.0,0.3,-5.1
Chandler Parsons,ATL,31,5,0,5,10.8,2.8,1.4,0.6,0.6,0.8,0.2,-8.0
Charlie Brown Jr.,ATL,23,10,1,9,4.0,2.0,0.4,0.2,0.3,0.2,0.2,2.8
Chasson Randle,GSW,27,3,2,1,13.5,1.7,0.7,1.7,0.0,0.7,0.0,-1.3
Cheick Diallo,PHX,23,47,20,27,10.2,4.7,2.8,0.5,0.7,0.2,0.3,-1.0
Chimezie Metu,SAS,23,18,8,10,5.8,3.2,1.8,0.6,0.6,0.2,0.3,-0.5
Chris Boucher,TOR,27,62,45,17,13.2,6.6,4.5,0.4,0.5,0.4,1.0,1.6
Chris Chiozza,BKN,24,28,14,14,14.3,5.1,1.9,3.0,1.1,0.8,0.1,3.3
Chris Clemons,HOU,22,33,19,14,8.8,4.9,0.9,0.8,0.6,0.3,0.2,-1.9
Chris Paul,OKC,35,70,44,26,31.5,17.6,5.0,6.7,2.3,1.6,0.2,4.7
Chris Silva,MIA,23,44,27,17,7.9,3.0,2.9,0.5,0.7,0.2,0.5,-1.2
Christian Wood,DET,24,62,20,42,21.4,13.1,6.3,1.0,1.4,0.5,0.9,1.1
CJ McCollum,POR,28,70,34,36,36.5,22.2,4.2,4.4,1.8,0.8,0.6,0.2
CJ Miles,WAS,33,10,4,6,16.1,6.4,1.2,1.2,0.4,1.0,0.4,-0.8
Clint Capela,ATL,26,39,22,17,32.8,13.9,13.8,1.2,1.6,0.8,1.8,1.5
Coby White,CHI,20,65,22,43,25.8,13.2,3.5,2.7,1.7,0.8,0.1,-2.5
Cody Martin,CHA,24,48,16,32,18.8,5.0,3.3,2.0,0.9,0.8,0.2,-1.4
Cody Zeller,CHA,27,58,18,40,23.1,11.1,7.1,1.5,1.3,0.7,0.4,-3.8
Collin Sexton,CLE,21,65,19,46,33.0,20.8,3.1,3.0,2.4,1.0,0.1,-6.1
Corey Brewer,SAC,34,5,2,3,6.5,1.0,1.6,0.4,0.4,0.8,0.0,1.0
Cory Joseph,SAC,28,72,31,41,24.4,6.4,2.6,3.5,1.1,0.7,0.3,-0.6
Courtney Lee,DAL,34,24,15,9,14.4,4.5,1.3,0.5,0.5,0.8,0.3,1.6
Cristiano Felicio,CHI,27,22,6,16,17.5,3.9,4.6,0.7,0.8,0.5,0.1,-2.6
D.J. Augustin,ORL,32,57,28,29,24.9,10.5,2.1,4.6,1.5,0.6,0.0,1.3
D.J. Wilson,MIL,24,37,29,8,9.8,3.6,2.5,0.7,0.5,0.1,0.1,-1.3
Damian Jones,ATL,25,55,15,40,16.1,5.6,3.7,0.6,0.5,0.5,0.7,-4.7
Damian Lillard,POR,29,66,33,33,37.5,30.0,4.3,8.0,2.9,1.1,0.3,1.3
Damion Lee,GSW,27,49,12,37,29.0,12.7,4.9,2.7,1.4,1.0,0.1,-2.5
Damyean Dotson,NYK,26,48,14,34,17.4,6.7,1.9,1.2,0.4,0.5,0.1,-1.8
D'Angelo Russell,MIN,24,45,11,34,32.3,23.1,3.9,6.3,3.3,1.1,0.3,-5.6
Daniel Gafford,CHI,21,43,15,28,14.2,5.1,2.5,0.5,0.7,0.3,1.3,-0.7
Daniel Theis,BOS,28,65,42,23,24.1,9.2,6.6,1.7,0.8,0.6,1.3,3.1
Danilo Gallinari,OKC,31,62,37,25,29.6,18.7,5.2,1.9,1.2,0.7,0.1,3.7
Danny Green,LAL,33,68,51,17,24.8,8.0,3.3,1.3,0.9,1.3,0.5,3.8
Dante Exum,CLE,24,35,10,25,13.9,4.5,1.9,1.1,0.9,0.4,0.2,-3.1
Danuel House Jr.,HOU,27,63,40,23,30.4,10.5,4.2,1.3,0.9,1.1,0.5,2.0
DaQuan Jeffries,SAC,22,13,4,9,10.9,3.8,1.4,0.5,0.2,0.3,0.1,0.2
Dario Saric,PHX,26,66,32,34,24.7,10.7,6.2,1.9,1.3,0.6,0.2,-1.0
Darius Bazley,OKC,20,61,36,25,18.5,5.6,4.0,0.7,0.7,0.4,0.7,-1.3
Darius Garland,CLE,20,59,17,42,30.9,12.3,1.9,3.9,2.6,0.7,0.1,-5.0
Daryl Macon,MIA,24,4,4,0,3.5,0.8,0.0,0.3,0.5,0.0,0.0,0.0
David Nwaba,HOU,27,20,8,12,13.4,5.2,2.3,0.4,0.4,0.6,0.6,1.8
Davis Bertans,WAS,27,54,20,34,29.3,15.4,4.5,1.7,1.1,0.7,0.6,-0.3
De'Aaron Fox,SAC,22,51,20,31,32.0,21.1,3.8,6.8,3.1,1.5,0.5,-2.4
Dean Wade,CLE,23,12,1,11,6.0,1.7,1.6,0.2,0.3,0.2,0.3,-0.8
Deandre Ayton,PHX,21,38,20,18,32.5,18.2,11.5,1.9,2.1,0.7,1.5,2.6
DeAndre' Bembry,ATL,25,43,10,33,21.3,5.8,3.5,1.9,1.4,1.3,0.4,-6.0
De'Andre Hunter,ATL,22,63,19,44,32.0,12.3,4.5,1.8,1.6,0.7,0.3,-4.1
DeAndre Jordan,BKN,31,56,27,29,22.0,8.3,10.0,1.9,1.3,0.3,0.9,-0.7
De'Anthony Melton,MEM,22,60,27,33,19.5,7.6,3.7,2.9,1.4,1.3,0.3,2.0
Dejounte Murray,SAS,23,66,29,37,25.6,10.9,5.8,4.1,1.9,1.7,0.3,-2.9
Delon Wright,DAL,28,73,42,31,21.5,6.9,3.8,3.3,1.0,1.2,0.3,0.5
DeMar DeRozan,SAS,30,68,31,37,34.1,22.1,5.5,5.6,2.4,1.0,0.3,-1.7
DeMarre Carroll,HOU,33,24,10,14,12.1,3.6,2.3,1.0,0.7,0.3,0.2,-0.1
Dennis Schroder,OKC,26,65,40,25,30.8,18.9,3.6,4.0,2.6,0.7,0.2,3.6
Dennis Smith Jr.,NYK,22,34,7,27,15.8,5.5,2.3,2.9,1.7,0.8,0.2,-5.7
Denzel Valentine,CHI,26,36,12,24,13.6,6.8,2.1,1.2,0.7,0.7,0.2,-1.1
Deonte Burton,OKC,26,39,22,17,9.1,2.7,1.5,0.4,0.5,0.2,0.3,-2.6
Derrick Favors,NOP,28,51,24,27,24.4,9.0,9.8,1.6,1.1,0.6,0.9,2.3
Derrick Jones Jr.,MIA,23,59,34,25,23.3,8.5,3.9,1.1,0.5,1.0,0.6,-0.5
Derrick Rose,DET,31,50,17,33,26.0,18.1,2.4,5.6,2.5,0.8,0.3,-1.7
Derrick Walton Jr.,DET,25,26,15,11,9.6,2.0,0.6,1.0,0.2,0.3,0.0,-0.3
Derrick White,SAS,25,68,32,36,24.7,11.3,3.3,3.5,1.3,0.6,0.9,0.6
Devin Booker,PHX,23,70,34,36,35.9,26.6,4.2,6.5,3.8,0.7,0.3,1.9
Devon Hall,OKC,24,11,6,5,7.3,1.8,0.6,1.2,0.5,0.4,0.1,0.8
Devontae Cacok,LAL,23,1,0,1,8.9,6.0,5.0,1.0,0.0,0.0,0.0,5.0
Devonte' Graham,CHA,25,63,23,40,35.1,18.2,3.4,7.5,2.9,1.0,0.2,-2.9
Dewan Hernandez,TOR,23,6,6,0,4.7,2.3,2.3,0.5,0.5,0.2,0.0,1.8
Dewayne Dedmon,ATL,30,44,17,27,17.6,5.8,5.7,0.5,1.3,0.6,0.9,-0.6
Dillon Brooks,MEM,24,73,34,39,28.9,16.2,3.3,2.1,1.7,0.9,0.4,-0.6
Dion Waiters,LAL,28,10,4,6,20.7,11.1,2.4,2.0,1.6,0.4,0.6,2.9
Domantas Sabonis,IND,24,62,37,25,34.8,18.5,12.4,5.0,2.7,0.8,0.5,2.6
Donovan Mitchell,UTA,23,69,43,26,34.3,24.0,4.4,4.3,2.7,1.0,0.2,1.6
Donta Hall,BKN,22,9,4,5,14.8,4.3,4.2,0.4,0.6,0.3,0.7,-3.9
Donte DiVincenzo,MIL,23,66,53,13,23.0,9.2,4.8,2.3,1.4,1.3,0.3,6.2
Dorian Finney-Smith,DAL,27,71,40,31,29.9,9.5,5.7,1.6,1.0,0.6,0.5,3.9
Doug McDermott,IND,28,69,43,26,19.9,10.3,2.5,1.1,0.6,0.2,0.1,1.5
Dragan Bender,GSW,22,16,10,6,17.8,6.7,4.6,1.8,1.3,0.3,0.6,-0.3
Draymond Green,GSW,30,43,10,33,28.4,8.0,6.2,6.2,2.3,1.4,0.8,-4.5
Drew Eubanks,SAS,23,22,13,9,12.4,4.9,3.9,0.7,1.0,0.2,0.8,-3.2
Duncan Robinson,MIA,26,73,44,29,29.7,13.5,3.2,1.4,1.0,0.5,0.3,4.8
Dusty Hannahs,MEM,26,2,0,2,6.7,6.0,0.5,0.0,0.0,0.0,0.0,2.5
Dwayne Bacon,CHA,24,39,10,29,17.6,5.7,2.6,1.3,0.9,0.6,0.1,-3.4
Dwight Howard,LAL,34,69,52,17,18.9,7.5,7.3,0.7,1.2,0.4,1.1,2.3
Dwight Powell,DAL,28,40,25,15,26.5,9.4,5.7,1.5,0.9,0.9,0.6,4.9
Dzanan Musa,BKN,21,40,20,20,12.2,4.8,2.2,1.1,0.9,0.4,0.0,-0.6
Ed Davis,UTA,31,28,16,12,10.8,1.8,3.8,0.4,0.5,0.4,0.3,-3.9
Edmond Sumner,IND,24,31,16,15,14.4,4.9,1.5,1.8,0.7,0.5,0.3,-0.9
Elfrid Payton,NYK,26,45,17,28,27.7,10.0,4.7,7.2,2.1,1.6,0.4,-1.9
Elie Okobo,PHX,22,55,23,32,13.1,4.0,1.6,2.1,0.7,0.4,0.1,-1.2
Emmanuel Mudiay,UTA,24,54,34,20,15.7,7.3,2.3,2.1,1.4,0.4,0.2,-0.8
Enes Freedom,BOS,28,58,36,22,17.0,8.1,7.4,1.0,1.0,0.4,0.7,3.6
Eric Bledsoe,MIL,30,61,48,13,27.0,14.9,4.6,5.4,2.4,0.9,0.4,7.1
Eric Gordon,HOU,31,36,21,15,28.2,14.4,2.0,1.5,1.2,0.6,0.4,0.1
Eric Mika,SAC,25,1,0,1,19.0,6.0,7.0,0.0,0.0,0.0,0.0,8.0
Eric Paschall,GSW,23,60,14,46,27.6,14.0,4.6,2.1,1.6,0.5,0.2,-6.3
Ersan Ilyasova,MIL,33,63,48,15,15.7,6.6,4.8,0.8,0.5,0.4,0.3,1.3
E'Twaun Moore,NOP,31,56,27,29,18.2,8.3,2.3,1.4,0.7,0.6,0.2,-0.8
Evan Fournier,ORL,27,66,28,38,31.4,18.5,2.6,3.2,1.9,1.1,0.2,-1.2
Evan Turner,MIN,31,19,3,16,13.2,3.3,2.0,2.0,1.4,0.5,0.4,-3.4
Frank Jackson,NOP,22,59,26,33,13.5,6.3,1.4,1.0,0.8,0.3,0.1,-1.0
Frank Kaminsky,PHX,27,39,19,20,19.9,9.7,4.5,1.9,0.9,0.4,0.3,-0.2
Frank Mason III,MIL,26,9,6,3,13.1,6.9,2.1,3.2,1.2,0.6,0.1,0.2
Frank Ntilikina,NYK,21,57,19,38,20.8,6.3,2.1,3.0,1.2,0.9,0.3,-1.7
Fred VanVleet,TOR,26,54,40,14,35.7,17.6,3.8,6.6,2.2,1.9,0.3,3.8
Furkan Korkmaz,PHI,22,72,42,30,21.7,9.8,2.3,1.1,0.8,0.6,0.2,1.3
Gabe Vincent,MIA,24,9,5,4,9.2,2.4,0.6,0.7,0.1,0.6,0.0,-3.4
Garrett Temple,BKN,34,62,30,32,27.9,10.3,3.5,2.5,1.0,0.8,0.5,-0.7
Garrison Mathews,WAS,23,18,8,10,12.6,5.4,1.3,0.6,0.4,0.4,0.1,1.9
Gary Clark,ORL,25,42,23,19,13.5,3.7,2.6,0.4,0.2,0.1,0.5,-1.3
Gary Harris,DEN,25,56,37,19,31.8,10.4,2.9,2.1,1.1,1.4,0.3,2.2
Gary Payton II,WAS,27,29,13,16,14.9,3.9,2.8,1.7,0.7,1.1,0.2,-4.8
Gary Trent Jr.,POR,21,61,29,32,21.8,8.9,1.6,1.0,0.3,0.8,0.3,-0.9
George Hill,MIL,34,59,47,12,21.5,9.4,3.0,3.1,1.0,0.8,0.1,5.1
Georges Niang,UTA,27,66,41,25,14.0,5.9,1.9,0.7,0.5,0.3,0.1,-0.6
Giannis Antetokounmpo,MIL,25,63,51,12,30.4,29.5,13.6,5.6,3.7,1.0,1.0,10.8
Glenn Robinson III,PHI,26,62,17,45,28.8,11.7,4.4,1.5,0.9,0.9,0.3,-4.8
Goga Bitadze,IND,20,54,32,22,8.7,3.2,2.0,0.4,0.5,0.2,0.7,-0.3
Goran Dragic,MIA,34,59,37,22,28.2,16.2,3.2,5.1,2.4,0.7,0.2,2.8
Gordon Hayward,BOS,30,52,34,18,33.5,17.5,6.7,4.1,1.8,0.7,0.4,6.4
Gorgui Dieng,MEM,30,63,20,43,17.4,7.4,5.6,1.2,1.0,0.8,0.9,-1.6
Grant Williams,BOS,21,69,47,22,15.1,3.4,2.6,1.0,0.7,0.4,0.5,1.9
Grayson Allen,MEM,24,38,16,22,18.9,8.7,2.2,1.4,0.9,0.3,0.1,-2.5
Hamidou Diallo,OKC,21,46,25,21,19.5,6.9,3.6,0.8,1.1,0.8,0.2,0.3
Harrison Barnes,SAC,28,72,31,41,34.5,14.5,4.9,2.2,1.2,0.6,0.2,-1.7
Harry Giles III,SAC,22,46,22,24,14.5,6.9,4.1,1.3,1.0,0.5,0.4,-2.8
Hassan Whiteside,POR,31,67,34,33,30.0,15.5,13.5,1.2,1.8,0.4,2.9,1.7
Henry Ellenson,BKN,23,5,2,3,3.0,0.4,1.2,0.2,0.0,0.0,0.0,2.4
Ian Mahinmi,WAS,33,38,15,23,21.3,7.4,5.7,1.3,1.2,0.8,1.2,-2.1
Ignas Brazdeikis,NYK,21,9,1,8,5.9,1.9,0.6,0.4,0.2,0.0,0.1,-1.3
Iman Shumpert,BKN,30,13,9,4,18.5,4.2,2.6,0.9,0.8,0.9,0.2,-4.0
Isaac Bonga,WAS,20,66,22,44,18.9,5.0,3.4,1.2,0.9,0.7,0.3,-0.5
Isaiah Hartenstein,HOU,22,23,16,7,11.6,4.7,3.9,0.8,0.7,0.4,0.5,1.7
Isaiah Roby,OKC,22,3,2,1,3.8,0.0,0.7,0.0,0.3,0.0,0.0,-1.3
Isaiah Thomas,WAS,31,40,14,26,23.1,12.2,1.7,3.7,1.9,0.3,0.2,-5.0
Ish Smith,WAS,31,68,23,45,26.3,10.9,3.2,4.9,1.4,0.9,0.4,-2.1
Ivica Zubac,LAC,23,72,49,23,18.4,8.3,7.5,1.1,0.8,0.2,0.9,3.2
J.J. Barea,DAL,36,29,15,14,15.5,7.7,1.8,3.9,1.3,0.2,0.1,0.7
J.P. Macura,CLE,25,1,1,0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Ja Morant,MEM,20,67,33,34,31.0,17.8,3.9,7.3,3.3,0.9,0.3,-0.3
Jabari Parker,SAC,25,38,9,29,24.2,14.0,5.6,1.8,1.7,1.2,0.4,-2.5
Jacob Evans,MIN,23,29,8,21,14.4,4.4,1.4,1.1,0.9,0.4,0.4,-3.5
Jae Crowder,MIA,29,65,29,36,28.8,10.5,5.9,2.5,1.1,1.1,0.4,-2.0
Jahlil Okafor,NOP,24,30,9,21,15.6,8.1,4.2,1.2,1.3,0.2,0.7,-3.4
JaKarr Sampson,IND,27,34,21,13,13.8,4.6,2.6,0.6,0.4,0.5,0.4,0.6
Jake Layman,MIN,26,23,11,12,22.0,9.1,2.5,0.7,1.0,0.7,0.4,1.0
Jakob Poeltl,SAS,24,66,30,36,17.7,5.6,5.7,1.8,0.8,0.6,1.4,1.8
Jalen Brunson,DAL,23,57,34,23,17.9,8.2,2.4,3.3,1.2,0.4,0.1,3.0
Jalen Lecque,PHX,20,5,2,3,6.3,2.0,0.4,0.4,0.4,0.0,0.0,-4.0
Jalen McDaniels,CHA,22,16,7,9,18.3,5.6,4.1,0.8,0.7,0.5,0.2,-1.4
Jamal Crawford,BKN,40,1,1,0,6.0,5.0,0.0,3.0,0.0,0.0,0.0,4.0
Jamal Murray,DEN,23,59,38,21,32.3,18.5,4.0,4.8,2.2,1.1,0.3,4.1
James Ennis III,ORL,29,69,42,27,18.3,6.6,3.6,0.9,0.8,0.5,0.3,0.0
James Harden,HOU,30,68,43,25,36.5,34.3,6.6,7.5,4.5,1.8,0.9,4.2
James Johnson,MIN,33,32,14,18,19.4,8.4,3.7,2.3,1.5,0.8,1.0,-2.3
JaMychal Green,LAC,30,63,43,20,20.7,6.8,6.2,0.8,0.9,0.5,0.4,2.4
Jared Dudley,LAL,34,45,30,15,8.1,1.5,1.2,0.6,0.2,0.3,0.1,0.4
Jared Harper,NYK,22,3,1,2,2.6,0.7,0.0,0.0,0.0,0.0,0.0,-3.7
Jaren Jackson Jr.,MEM,20,57,28,29,28.5,17.4,4.6,1.4,1.7,0.7,1.6,-1.8
Jarred Vanderbilt,MIN,21,11,6,5,4.2,1.1,0.8,0.2,0.6,0.3,0.1,-2.5
Jarrell Brantley,UTA,24,9,3,6,10.7,2.7,2.2,1.2,0.8,0.3,0.6,-4.1
Jarrett Allen,BKN,22,70,33,37,26.5,11.1,9.6,1.6,1.1,0.6,1.3,0.6
Jarrett Culver,MIN,21,63,19,44,23.9,9.2,3.4,1.7,1.3,0.9,0.6,-1.6
Jarrod Uthoff,WAS,27,7,4,3,7.6,2.7,0.9,0.0,0.0,0.1,0.0,1.4
JaVale McGee,LAL,32,68,51,17,16.6,6.6,5.7,0.5,0.8,0.5,1.4,1.9
Javonte Green,BOS,26,48,33,15,9.7,3.4,1.9,0.5,0.5,0.5,0.2,-0.6
Jaxson Hayes,NOP,20,64,28,36,16.9,7.4,4.0,0.9,0.8,0.4,0.9,-0.9
Jaylen Brown,BOS,23,57,38,19,33.9,20.3,6.4,2.1,2.2,1.1,0.4,4.0
Jaylen Hoard,POR,21,13,7,6,7.9,2.9,2.5,0.3,0.3,0.4,0.0,0.8
Jaylen Nowell,MIN,20,15,2,13,10.1,3.8,0.9,1.3,0.2,0.2,0.1,0.7
Jayson Tatum,BOS,22,66,46,20,34.3,23.4,7.0,3.0,2.3,1.4,0.9,7.6
Jeff Green,HOU,33,48,28,20,20.0,9.4,2.8,1.0,0.9,0.5,0.4,-1.8
Jeff Teague,ATL,32,59,22,37,24.8,10.9,2.4,5.2,2.0,0.7,0.3,-2.9
Jerami Grant,DEN,26,71,45,26,26.6,12.0,3.5,1.2,0.9,0.7,0.8,-1.2
Jeremiah Martin,BKN,24,9,6,3,11.0,7.1,1.1,2.0,0.4,0.8,0.2,-1.9
Jeremy Lamb,IND,28,46,27,19,28.1,12.5,4.3,2.1,1.1,1.2,0.5,0.0
Jeremy Pargo,GSW,34,3,0,3,14.8,8.3,1.0,2.7,1.3,0.3,0.0,0.0
Jerian Grant,WAS,27,6,1,5,13.4,4.5,1.0,1.5,0.5,0.2,0.2,-0.5
Jerome Robinson,WAS,23,63,36,27,15.5,5.1,2.0,1.4,0.8,0.4,0.3,-0.5
Jevon Carter,PHX,24,58,29,29,16.3,4.9,2.0,1.4,0.6,0.8,0.3,-0.2
Jimmy Butler,MIA,30,58,38,20,33.8,19.9,6.7,6.0,2.2,1.8,0.6,4.4
JJ Redick,NOP,36,60,26,34,26.3,15.3,2.5,2.0,1.3,0.3,0.2,-0.4
Joakim Noah,LAC,35,5,4,1,10.0,2.8,3.2,1.4,1.2,0.2,0.2,-3.8
Joe Chealey,CHA,24,4,1,3,8.4,0.5,0.0,0.3,0.5,1.0,0.0,-4.5
Joe Harris,BKN,28,69,33,36,30.8,14.5,4.3,2.1,1.5,0.6,0.2,1.2
Joe Ingles,UTA,32,72,44,28,29.7,9.8,3.9,5.2,2.0,0.9,0.2,3.3
Joel Embiid,PHI,26,51,32,19,29.5,23.0,11.6,3.0,3.1,0.9,1.3,3.2
John Collins,ATL,22,41,15,26,33.2,21.6,10.1,1.5,1.8,0.8,1.6,-4.0
John Henson,DET,29,40,8,32,15.0,5.5,4.1,1.4,0.9,0.6,1.1,-0.5
John Konchar,MEM,24,19,9,10,9.5,2.8,2.5,1.2,0.4,0.4,0.2,1.9
Johnathan Motley,LAC,25,13,8,5,3.2,2.2,0.8,0.6,0.4,0.2,0.0,0.2
Johnathan Williams,WAS,25,15,7,8,12.0,3.0,4.3,0.5,0.3,0.1,0.5,-2.6
Jonah Bolden,PHX,24,7,6,1,6.7,1.4,1.3,0.0,0.3,0.4,0.3,0.1
Jonas Valanciunas,MEM,28,70,32,38,26.4,14.9,11.3,1.9,1.8,0.4,1.1,0.1
Jonathan Isaac,ORL,22,34,15,19,28.8,11.9,6.8,1.4,1.4,1.6,2.3,0.5
Jordan Bell,CLE,25,29,8,21,8.8,3.2,2.8,0.6,0.7,0.1,0.3,-0.3
Jordan Bone,DET,22,10,3,7,5.3,1.2,0.4,0.8,0.2,0.1,0.0,0.0
Jordan Clarkson,UTA,28,71,34,37,24.0,15.2,2.6,1.9,1.4,0.6,0.2,-0.1
