PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER
Aaron Gordon,DEN,25,6-8,235,Arizona,USA,2014,1,4
Aaron Holiday,IND,24,6-0,185,UCLA,USA,2018,1,23
Aaron Nesmith,BOS,21,6-5,215,Vanderbilt,USA,2020,1,14
Abdel Nader,PHX,27,6-5,225,Iowa State,Egypt,2016,2,58
Adam Mokoka,CHI,22,6-4,190,None,France,Undrafted,Undrafted,Undrafted
Al Horford,OKC,35,6-9,240,Florida,Dominican Rep...,2007,1,3
Al-Farouq Aminu,CHI,30,6-8,220,Wake Forest,USA,2010,1,8
Alec Burks,NYK,29,6-6,214,Colorado,USA,2011,1,12
Aleksej Pokusevski,OKC,19,7-0,190,None,Serbia,2020,1,17
Alen Smailagic,GSW,20,6-10,215,None,Serbia,2019,2,39
Alex Caruso,LAL,27,6-4,186,Texas A&M,USA,Undrafted,Undrafted,Undrafted
Alex Len,WAS,28,7-0,250,Maryland,Ukraine,2013,1,5
Alfonzo McKinnie,LAL,28,6-7,215,Wisc.-Green Bay,USA,Undrafted,Undrafted,Undrafted
Alize Johnson,BKN,25,6-7,212,Missouri State,USA,2018,2,50
Amida Brimah,IND,27,6-10,230,Connecticut,USA,Undrafted,Undrafted,Undrafted
Amir Coffey,LAC,24,6-7,210,Minnesota,USA,Undrafted,Undrafted,Undrafted
Anderson Varejao,CLE,38,6-11,260,None,Brazil,2004,2,30
Andre Drummond,LAL,27,6-10,279,Connecticut,USA,2012,1,9
Andre Iguodala,MIA,37,6-6,215,Arizona,USA,2004,1,9
Andre Roberson,BKN,29,6-7,210,Colorado,USA,2013,1,26
Andrew Wiggins,GSW,26,6-7,197,Kansas,Canada,2014,1,1
Anfernee Simons,POR,22,6-3,181,None,USA,2018,1,24
Anthony Davis,LAL,28,6-10,253,Kentucky,USA,2012,1,1
Anthony Edwards,MIN,19,6-4,225,Georgia,USA,2020,1,1
Anthony Gill,WAS,28,6-7,230,Virginia,USA,Undrafted,Undrafted,Undrafted
Anthony Lamb,HOU,23,6-6,227,Vermont,USA,Undrafted,Undrafted,Undrafted
Anthony Tolliver,PHI,36,6-8,240,Creighton,USA,Undrafted,Undrafted,Undrafted
Anzejs Pasecniks,WAS,25,7-1,229,None,Latvia,2017,1,25
Armoni Brooks,HOU,23,6-3,195,Houston,USA,2019,,
Aron Baynes,TOR,34,6-10,260,Washington State,Australia,Undrafted,Undrafted,Undrafted
Ashton Hagans,MIN,21,6-3,190,Kentucky,USA,Undrafted,Undrafted,Undrafted
Austin Rivers,DEN,28,6-4,200,Duke,USA,2012,1,10
Avery Bradley,HOU,30,6-3,180,Texas-Austin,USA,2010,1,19
Axel Toupane,MIL,28,6-7,210,None,France,Undrafted,Undrafted,Undrafted
Bam Adebayo,MIA,23,6-9,255,Kentucky,USA,2017,1,14
Ben McLemore,LAL,28,6-3,195,Kansas,USA,2013,1,7
Ben Simmons,PHI,24,6-11,240,Louisiana State,Australia,2016,1,1
Bismack Biyombo,CHA,28,6-8,255,None,DRC,2011,1,7
Blake Griffin,BKN,32,6-9,250,Oklahoma,USA,2009,1,1
Boban Marjanovic,DAL,32,7-4,290,None,Serbia,Undrafted,Undrafted,Undrafted
Bobby Portis,MIL,26,6-10,250,Arkansas,USA,2015,1,22
Bogdan Bogdanovic,ATL,28,6-6,220,None,Serbia,2014,1,27
Bojan Bogdanovic,UTA,32,6-7,226,None,Croatia,2011,2,31
Bol Bol,DEN,21,7-2,220,Oregon,Sudan,2019,2,44
Brad Wanamaker,CHA,31,6-3,210,Pittsburgh,USA,Undrafted,Undrafted,Undrafted
Bradley Beal,WAS,28,6-3,207,Florida,USA,2012,1,3
Brandon Clarke,MEM,24,6-8,215,Gonzaga,Canada,2019,1,21
Brandon Goodwin,ATL,25,6-0,180,Florida Gulf Coast,USA,Undrafted,Undrafted,Undrafted
Brandon Ingram,NOP,23,6-8,190,Duke,USA,2016,1,2
Brian Bowen II,IND,22,6-6,190,None,USA,Undrafted,Undrafted,Undrafted
Brodric Thomas,CLE,24,6-5,185,Truman State,USA,Undrafted,Undrafted,Undrafted
Brook Lopez,MIL,33,7-0,282,Stanford,USA,2008,1,10
Bruce Brown,BKN,24,6-4,202,Miami,USA,2018,2,42
Bruno Caboclo,HOU,25,6-9,218,None,Brazil,2014,1,20
Bruno Fernando,ATL,22,6-9,240,Maryland,Angola,2019,2,34
Bryn Forbes,MIL,27,6-2,205,Michigan State,USA,Undrafted,Undrafted,Undrafted
Buddy Hield,SAC,28,6-4,220,Oklahoma,Bahamas,2016,1,6
CJ Elleby,POR,21,6-6,200,Washington State,USA,2020,2,46
CJ McCollum,POR,29,6-3,190,Lehigh,USA,2013,1,10
Caleb Martin,CHA,25,6-5,205,Nevada-Reno,USA,Undrafted,Undrafted,Undrafted
Cam Reddish,ATL,21,6-8,218,Duke,USA,2019,1,10
Cameron Johnson,PHX,25,6-8,210,North Carolina,USA,2019,1,11
Cameron Oliver,HOU,24,6-8,225,Nevada,USA,Undrafted,Undrafted,Undrafted
