PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,REB,AST,TOV,STL,BLK,+/-
Aaron Gordon,DEN,25,50,29,21,27.7,12.4,5.7,3.2,1.9,0.7,0.7,1.2
Aaron Holiday,IND,24,66,30,36,17.8,7.2,1.3,1.9,1.0,0.7,0.2,0.0
Aaron Nesmith,BOS,21,46,22,24,14.5,4.7,2.8,0.5,0.5,0.3,0.2,-0.2
Abdel Nader,PHX,27,24,16,8,14.8,6.7,2.6,0.8,0.8,0.4,0.4,1.2
Adam Mokoka,CHI,22,14,3,11,4.0,1.1,0.4,0.4,0.4,0.1,0.1,-0.6
Al Horford,OKC,35,28,11,17,27.9,14.2,6.7,3.4,1.0,0.9,0.9,-3.6
Alec Burks,NYK,29,49,27,22,25.6,12.7,4.6,2.2,1.0,0.6,0.3,2.6
Aleksej Pokusevski,OKC,19,45,13,32,24.2,8.2,4.7,2.2,2.2,0.4,0.9,-8.7
Alen Smailagic,GSW,20,15,10,5,5.6,1.9,1.1,0.3,0.3,0.2,0.3,-2.1
Alex Caruso,LAL,27,58,32,26,21.0,6.4,2.9,2.8,1.3,1.1,0.3,2.1
Alex Len,WAS,28,64,30,34,15.3,6.6,4.1,0.8,0.9,0.3,1.0,-1.5
Al-Farouq Aminu,CHI,30,23,5,18,18.9,4.4,4.8,1.3,1.2,0.8,0.4,-2.3
Alfonzo McKinnie,LAL,28,39,22,17,6.6,3.1,1.4,0.2,0.1,0.2,0.0,0.2
Alize Johnson,BKN,25,18,10,8,10.5,5.2,5.0,0.8,0.5,0.3,0.3,-1.0
Amida Brimah,IND,27,5,2,3,5.9,2.6,1.6,0.2,0.8,0.0,1.0,4.4
Amir Coffey,LAC,24,44,32,12,9.0,3.2,1.0,0.5,0.3,0.2,0.0,-0.6
Anderson Varejao,CLE,38,5,1,4,7.2,2.6,4.0,0.6,0.2,0.0,0.4,-6.6
Andre Drummond,LAL,27,46,19,27,27.0,14.9,12.0,2.0,2.7,1.4,1.1,-2.3
Andre Iguodala,MIA,37,63,37,26,21.3,4.4,3.5,2.3,1.1,0.9,0.6,-1.3
Andre Roberson,BKN,29,5,4,1,12.6,1.2,3.0,0.8,0.4,0.6,0.2,-3.8
Andrew Wiggins,GSW,26,71,38,33,33.3,18.6,4.9,2.4,1.8,0.9,1.0,0.0
Anfernee Simons,POR,22,64,37,27,17.3,7.8,2.2,1.4,0.7,0.3,0.1,0.7
Anthony Davis,LAL,28,36,23,13,32.3,21.8,7.9,3.1,2.1,1.3,1.6,3.2
Anthony Edwards,MIN,19,72,23,49,32.1,19.3,4.7,2.9,2.2,1.1,0.5,-3.2
Anthony Gill,WAS,28,26,11,15,8.4,3.1,2.0,0.4,0.3,0.4,0.2,-0.7
Anthony Lamb,HOU,23,24,3,21,17.3,5.5,2.9,1.0,0.8,0.3,0.2,-3.7
Anthony Tolliver,PHI,36,11,7,4,9.0,1.5,0.9,0.2,0.3,0.3,0.2,2.7
Anzejs Pasecniks,WAS,25,1,1,0,6.3,0.0,1.0,1.0,5.0,0.0,0.0,-13.0
Armoni Brooks,HOU,23,20,3,17,26.0,11.2,3.4,1.5,1.1,0.6,0.3,-6.8
Aron Baynes,TOR,34,53,20,33,18.5,6.1,5.2,0.9,0.9,0.3,0.4,-1.5
Ashton Hagans,MIN,21,2,0,2,2.0,0.0,0.0,0.0,0.5,0.0,0.0,-1.5
Austin Rivers,DEN,28,36,20,16,23.5,7.9,2.3,2.3,1.0,0.8,0.1,0.3
Avery Bradley,HOU,30,27,6,21,22.3,6.4,2.1,1.7,1.0,0.8,0.1,-4.9
Axel Toupane,MIL,28,8,2,6,7.7,1.8,0.8,0.5,0.0,0.3,0.4,-0.4
Bam Adebayo,MIA,23,64,34,30,33.5,18.7,9.0,5.4,2.6,1.2,1.0,0.4
Ben McLemore,LAL,28,53,20,33,17.1,7.7,1.9,0.7,0.8,0.4,0.2,-1.9
Ben Simmons,PHI,24,58,42,16,32.4,14.3,7.2,6.9,3.0,1.6,0.6,5.7
Bismack Biyombo,CHA,28,66,28,38,20.4,5.0,5.3,1.2,1.1,0.3,1.1,-4.2
Blake Griffin,BKN,32,46,24,22,25.8,11.0,4.9,3.0,1.3,0.7,0.3,1.3
Boban Marjanovic,DAL,32,33,14,19,8.2,4.7,3.9,0.3,0.4,0.1,0.2,0.7
Bobby Portis,MIL,26,66,44,22,20.8,11.4,7.1,1.1,0.8,0.8,0.4,2.1
Bogdan Bogdanovic,ATL,28,44,30,14,29.7,16.4,3.6,3.3,1.2,1.1,0.3,2.5
Bojan Bogdanovic,UTA,32,72,52,20,30.8,17.0,3.9,1.9,1.8,0.6,0.1,5.8
Bol Bol,DEN,21,32,21,11,5.0,2.2,0.8,0.2,0.4,0.1,0.3,-2.5
Brad Wanamaker,CHA,31,61,29,32,17.3,5.5,1.7,2.9,1.2,0.7,0.2,-2.1
Bradley Beal,WAS,28,60,32,28,35.8,31.3,4.7,4.4,3.1,1.2,0.4,-0.1
Brandon Clarke,MEM,24,59,32,27,24.0,10.3,5.6,1.6,0.6,1.0,0.9,-0.3
Brandon Goodwin,ATL,25,47,25,22,13.2,4.9,1.5,2.0,0.8,0.4,0.0,-1.3
Brandon Ingram,NOP,23,61,29,32,34.3,23.8,4.9,4.9,2.5,0.7,0.6,0.7
Brian Bowen II,IND,22,6,1,5,2.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5
Brodric Thomas,CLE,24,32,6,26,12.5,3.9,1.7,0.9,0.7,0.5,0.3,-1.5
Brook Lopez,MIL,33,70,46,24,27.2,12.3,5.0,0.7,0.9,0.6,1.5,4.5
Bruce Brown,BKN,24,65,45,20,22.3,8.8,5.4,1.6,0.8,0.9,0.4,1.1
Bruno Caboclo,HOU,25,6,1,5,6.1,2.8,2.3,0.2,0.7,0.0,0.3,0.0
