PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,REB,AST,TOV,STL,BLK,+/-
Bruno Fernando,ATL,22,33,20,13,6.8,1.5,2.4,0.3,0.6,0.1,0.1,-0.7
Bryn Forbes,MIL,27,70,45,25,19.3,10.0,1.6,0.6,0.6,0.3,0.0,1.4
Buddy Hield,SAC,28,71,31,40,34.3,16.6,4.7,3.6,1.8,0.9,0.4,-0.8
Caleb Martin,CHA,25,53,23,30,15.4,5.0,2.7,1.3,0.6,0.7,0.2,-1.9
Cam Reddish,ATL,21,26,10,16,28.9,11.2,4.0,1.3,1.3,1.3,0.3,-1.9
Cameron Johnson,PHX,25,60,43,17,24.0,9.6,3.3,1.4,0.7,0.6,0.3,2.9
Cameron Oliver,HOU,24,4,1,3,21.8,10.8,5.3,1.3,0.8,0.5,1.0,-2.8
Cameron Payne,PHX,26,60,42,18,18.0,8.4,2.4,3.6,1.0,0.6,0.3,3.0
Cameron Reynolds,HOU,26,5,3,2,8.1,3.0,1.0,0.4,0.0,0.0,0.0,-5.2
Caris LeVert,IND,26,47,24,23,31.6,20.2,4.6,5.2,2.2,1.4,0.6,-0.1
Carmelo Anthony,POR,37,69,39,30,24.5,13.4,3.1,1.5,0.9,0.7,0.6,-0.3
Carsen Edwards,BOS,23,31,14,17,8.9,4.0,0.8,0.5,0.2,0.2,0.0,-0.8
Cassius Stanley,IND,21,24,10,14,3.9,1.5,0.8,0.0,0.0,0.0,0.1,0.8
Cassius Winston,WAS,23,22,10,12,4.5,1.9,0.4,0.5,0.2,0.1,0.0,-2.2
Cedi Osman,CLE,26,59,17,42,25.6,10.4,3.4,2.9,1.4,0.9,0.2,-5.5
Chandler Hutchison,WAS,25,25,11,14,13.8,4.3,3.1,0.7,0.8,0.5,0.2,-2.3
Charlie Brown Jr.,OKC,24,9,1,8,16.9,4.4,1.9,1.0,0.7,0.4,0.2,-4.8
Chasson Randle,ORL,28,41,10,31,20.4,6.5,2.0,1.8,1.1,0.5,0.1,-6.5
Chimezie Metu,SAC,24,36,14,22,13.6,6.3,3.1,0.8,0.8,0.4,0.5,-1.6
Chris Boucher,TOR,28,60,25,35,24.2,13.6,6.7,1.1,0.8,0.6,1.9,1.6
Chris Chiozza,BKN,25,22,12,10,10.6,4.0,1.1,3.0,0.7,0.3,0.3,0.9
Chris Paul,PHX,36,70,49,21,31.4,16.4,4.5,8.9,2.2,1.4,0.3,4.4
Chris Silva,SAC,24,15,8,7,6.2,2.1,1.8,0.4,0.7,0.1,0.4,-0.1
Christian Wood,HOU,25,41,12,29,32.3,21.0,9.6,1.7,2.0,0.8,1.2,-2.4
Chuma Okeke,ORL,22,45,15,30,25.2,7.8,4.0,2.2,0.8,1.1,0.5,-4.0
CJ Elleby,POR,21,30,19,11,6.4,2.3,1.1,0.3,0.2,0.2,0.1,-0.5
CJ McCollum,POR,29,47,28,19,34.0,23.1,3.9,4.7,1.4,0.9,0.4,4.4
Clint Capela,ATL,27,63,34,29,30.1,15.2,14.3,0.8,1.2,0.7,2.0,4.0
Coby White,CHI,21,69,30,39,31.2,15.1,4.1,4.8,2.3,0.6,0.2,-1.6
Cody Martin,CHA,25,52,26,26,16.3,4.0,3.1,1.7,0.8,0.7,0.2,-0.1
Cody Zeller,CHA,28,48,21,27,20.9,9.4,6.8,1.8,1.1,0.6,0.4,0.9
Cole Anthony,ORL,21,47,13,34,27.1,12.9,4.7,4.1,2.3,0.6,0.4,-6.9
Collin Sexton,CLE,22,60,18,42,35.3,24.3,3.1,4.4,2.8,1.0,0.2,-6.3
Cory Joseph,DET,29,63,25,38,23.0,8.2,2.5,3.4,1.3,1.0,0.3,-3.1
Cristiano Felicio,CHI,28,18,6,12,4.6,1.3,1.4,0.5,0.2,0.2,0.0,1.2
D.J. Augustin,HOU,33,57,28,29,19.8,7.7,1.6,3.3,1.1,0.5,0.0,-0.7
D.J. Wilson,HOU,25,35,13,22,12.4,5.2,3.2,0.7,0.6,0.3,0.5,-3.0
Dakota Mathias,PHI,25,8,4,4,15.4,6.0,0.9,1.6,0.1,0.1,0.4,-3.9
Damian Jones,SAC,26,39,24,15,14.0,4.7,3.1,0.7,0.7,0.3,0.7,-1.7
Damian Lillard,POR,30,67,39,28,35.8,28.8,4.2,7.5,3.0,0.9,0.3,3.0
Damion Lee,GSW,28,57,28,29,18.9,6.5,3.2,1.3,0.5,0.7,0.1,0.7
Damyean Dotson,CLE,27,46,14,32,19.7,6.7,2.0,2.0,0.9,0.3,0.1,-4.7
D'Angelo Russell,MIN,25,42,16,26,28.5,19.0,2.6,5.8,2.7,1.1,0.4,-4.6
Daniel Gafford,WAS,22,54,31,23,14.7,7.0,4.3,0.5,0.8,0.5,1.4,0.9
Daniel Oturu,LAC,21,30,21,9,5.4,1.8,1.6,0.3,0.3,0.1,0.2,0.3
Daniel Theis,CHI,29,65,28,37,24.6,9.6,5.5,1.7,1.0,0.6,0.9,-0.5
Danilo Gallinari,ATL,32,51,29,22,24.0,13.3,4.1,1.5,0.8,0.6,0.2,1.8
Danny Green,PHI,34,69,46,23,28.0,9.5,3.8,1.7,1.0,1.3,0.8,4.5
Dante Exum,HOU,25,6,3,3,19.4,3.8,2.8,2.2,1.2,0.7,0.3,1.0
Danuel House Jr.,HOU,28,36,8,28,25.9,8.8,3.7,1.9,1.0,0.6,0.4,-6.2
DaQuan Jeffries,SAS,23,31,6,25,15.9,4.1,2.3,0.7,0.5,0.5,0.3,-1.8
Dario Saric,PHX,27,50,37,13,17.4,8.7,3.8,1.3,1.1,0.6,0.1,4.4
Darius Bazley,OKC,21,55,16,39,31.2,13.7,7.2,1.8,2.2,0.5,0.5,-8.7
Darius Garland,CLE,21,54,18,36,33.1,17.4,2.4,6.1,3.0,1.2,0.1,-4.4
Darius Miller,OKC,31,18,5,13,10.9,4.1,1.3,1.2,0.4,0.7,0.3,2.1
David Nwaba,HOU,28,30,8,22,22.6,9.2,3.9,1.0,0.6,1.0,0.7,-0.9
Davis Bertans,WAS,28,57,29,28,25.7,11.5,2.9,0.9,0.6,0.6,0.2,1.9
De'Aaron Fox,SAC,23,58,24,34,35.1,25.2,3.5,7.2,3.0,1.5,0.5,-3.4
Dean Wade,CLE,24,63,19,44,19.2,6.0,3.4,1.2,0.5,0.6,0.3,-3.5
Deandre Ayton,PHX,22,69,48,21,30.6,14.4,10.5,1.4,1.5,0.6,1.2,4.0
DeAndre' Bembry,TOR,26,51,23,28,19.1,5.7,2.9,2.1,1.4,1.0,0.4,0.1
De'Andre Hunter,ATL,23,23,12,11,29.5,15.0,4.8,1.9,1.3,0.8,0.5,3.7
DeAndre Jordan,BKN,32,57,37,20,21.9,7.5,7.5,1.6,1.5,0.3,1.1,-0.7
De'Anthony Melton,MEM,23,52,27,25,20.1,9.1,3.1,2.5,1.3,1.2,0.6,2.3
Deividas Sirvydis,DET,21,20,8,12,6.7,2.1,1.5,0.3,0.3,0.1,0.0,-1.2
Dejounte Murray,SAS,24,67,32,35,31.9,15.7,7.1,5.4,1.7,1.5,0.1,1.3
Delon Wright,SAC,29,63,21,42,27.7,10.2,4.3,4.4,1.3,1.6,0.5,-1.7
DeMar DeRozan,SAS,31,61,27,34,33.7,21.6,4.2,6.9,2.0,0.9,0.2,-1.7
DeMarcus Cousins,LAC,30,41,22,19,17.4,8.9,6.4,1.9,1.6,0.8,0.6,-1.5
Deni Avdija,WAS,20,54,25,29,23.3,6.3,4.9,1.2,0.6,0.6,0.3,-1.5
Dennis Schroder,LAL,27,61,38,23,32.1,15.4,3.5,5.8,2.7,1.1,0.2,1.4
Dennis Smith Jr.,DET,23,23,7,16,18.3,6.7,2.4,3.3,1.1,1.0,0.6,-0.8
Denzel Valentine,CHI,27,62,26,36,16.7,6.5,3.2,1.7,0.7,0.5,0.1,0.7
Derrick Favors,UTA,29,68,49,19,15.3,5.4,5.5,0.6,0.5,0.5,1.0,0.5
Derrick Jones Jr.,POR,24,58,32,26,22.7,6.8,3.5,0.8,0.6,0.6,0.9,-1.1
Derrick Rose,NYK,32,50,28,22,25.6,14.7,2.6,4.2,1.6,1.0,0.4,2.7
Derrick White,SAS,26,36,18,18,29.5,15.4,3.0,3.5,1.3,0.7,1.0,2.6
Desmond Bane,MEM,23,68,36,32,22.3,9.2,3.1,1.7,0.9,0.6,0.2,0.2
Devin Booker,PHX,24,67,48,19,33.9,25.6,4.2,4.3,3.1,0.8,0.2,4.9
Devin Cannady,ORL,25,8,0,8,9.3,4.3,0.6,0.1,0.3,0.6,0.1,-2.9
Devin Vassell,SAS,20,62,30,32,17.0,5.5,2.8,0.9,0.4,0.7,0.3,-1.0
Devon Dotson,CHI,21,11,4,7,4.6,2.1,0.5,0.6,0.0,0.4,0.0,2.9
Devontae Cacok,LAL,24,20,8,12,4.9,2.0,1.6,0.1,0.3,0.3,0.2,2.1
Devonte' Graham,CHA,26,55,23,32,30.2,14.8,2.7,5.4,1.5,0.9,0.1,1.8
Dewayne Dedmon,MIA,31,16,11,5,13.2,7.1,5.4,0.8,0.8,0.6,0.4,4.3
Didi Louzada,NOP,21,3,0,3,18.8,2.7,1.0,1.0,1.0,0.7,0.0,-3.7
Dillon Brooks,MEM,25,67,36,31,29.8,17.2,2.9,2.3,1.8,1.2,0.4,2.3
Domantas Sabonis,IND,25,62,29,33,36.0,20.3,12.0,6.7,3.4,1.2,0.5,-1.5
Donovan Mitchell,UTA,24,53,39,14,33.4,26.4,4.4,5.2,2.8,1.0,0.3,5.4
Donta Hall,ORL,23,13,3,10,13.8,5.6,4.8,0.8,0.6,0.4,0.8,-1.5
Donte DiVincenzo,MIL,24,66,44,22,27.5,10.4,5.8,3.1,1.4,1.1,0.2,4.6
Dorian Finney-Smith,DAL,28,60,36,24,32.0,9.8,5.4,1.7,0.8,0.9,0.4,3.3
Doug McDermott,IND,29,66,32,34,24.5,13.6,3.3,1.3,0.8,0.3,0.1,-0.7
Draymond Green,GSW,31,63,35,28,31.5,7.0,7.1,8.9,3.0,1.7,0.8,3.8
Drew Eubanks,SAS,24,54,21,33,14.0,5.8,4.5,0.8,0.8,0.3,0.9,-1.8
Duncan Robinson,MIA,27,72,40,32,31.4,13.1,3.5,1.8,1.1,0.6,0.3,1.6
Dwayne Bacon,ORL,25,72,21,51,25.7,10.9,3.1,1.3,0.6,0.6,0.1,-6.2
Dwight Howard,PHI,35,69,46,23,17.3,7.0,8.4,0.9,1.6,0.4,0.9,-1.0
Dwight Powell,DAL,29,58,36,22,16.6,5.9,4.0,1.1,0.7,0.6,0.5,1.3
Dylan Windler,CLE,24,31,11,20,16.5,5.2,3.5,1.1,1.0,0.6,0.4,-2.0
Ed Davis,MIN,32,23,5,18,13.0,2.1,5.0,0.9,0.3,0.6,0.6,-2.0
Edmond Sumner,IND,25,53,23,30,16.2,7.5,1.8,0.9,1.0,0.6,0.2,-0.6
Elfrid Payton,NYK,27,63,36,27,23.6,10.1,3.4,3.2,1.6,0.7,0.1,-1.6
Elijah Bryant,MIL,26,1,0,1,31.6,16.0,6.0,3.0,4.0,0.0,1.0,11.0
Elijah Hughes,UTA,23,18,14,4,3.5,1.7,0.5,0.3,0.3,0.1,0.1,-2.1
Enes Freedom,POR,29,72,42,30,24.4,11.2,11.0,1.2,1.1,0.5,0.7,2.2
Eric Bledsoe,NOP,31,71,31,40,29.7,12.2,3.4,3.8,1.6,0.8,0.3,-0.9
Eric Gordon,HOU,32,27,10,17,29.2,17.8,2.1,2.6,1.9,0.5,0.5,-2.5
Eric Paschall,GSW,24,40,20,20,17.4,9.5,3.2,1.3,1.1,0.3,0.2,-2.8
Ersan Ilyasova,UTA,34,17,14,3,8.7,3.8,1.7,0.2,0.5,0.6,0.2,0.9
E'Twaun Moore,PHX,32,27,20,7,14.4,4.9,1.7,1.5,0.9,0.6,0.2,0.3
Evan Fournier,BOS,28,42,18,24,30.0,17.1,3.0,3.4,1.7,1.1,0.5,-0.8
Facundo Campazzo,DEN,30,65,43,22,21.9,6.1,2.1,3.6,1.1,1.2,0.2,1.2
Frank Jackson,DET,23,40,13,27,18.5,9.8,2.2,0.9,0.9,0.4,0.0,-0.3
Frank Kaminsky,PHX,28,47,33,14,15.2,6.6,4.0,1.7,0.5,0.3,0.4,1.2
Frank Mason III,ORL,27,4,1,3,19.8,6.3,3.0,3.0,1.3,0.0,0.0,-4.8
Frank Ntilikina,NYK,22,33,23,10,9.8,2.7,0.9,0.6,0.3,0.5,0.1,-1.0
Fred VanVleet,TOR,27,52,22,30,36.5,19.6,4.2,6.3,1.8,1.7,0.7,2.7
Freddie Gillespie,TOR,24,20,7,13,19.6,5.6,4.9,0.5,0.6,0.7,1.0,-3.9
Furkan Korkmaz,PHI,23,55,39,16,19.3,9.1,2.1,1.5,0.8,0.9,0.2,2.6
Gabe Vincent,MIA,25,50,27,23,13.1,4.8,1.1,1.3,0.7,0.4,0.0,-1.5
Gabriel Deck,OKC,26,10,1,9,21.2,8.4,4.0,2.4,0.6,0.8,0.0,-5.1
Garrett Temple,CHI,35,56,25,31,27.3,7.6,2.9,2.2,1.0,0.8,0.5,0.9
Garrison Mathews,WAS,24,64,32,32,16.2,5.5,1.4,0.4,0.2,0.5,0.1,-2.1
Gary Clark,PHI,26,39,12,27,16.8,3.1,2.9,0.8,0.4,0.3,0.2,-2.8
Gary Harris,ORL,26,39,15,24,27.7,9.9,2.0,2.0,0.9,0.7,0.3,-2.1
Gary Payton II,GSW,28,10,7,3,4.0,2.5,1.1,0.1,0.1,0.6,0.1,0.1
Gary Trent Jr.,TOR,22,58,29,29,31.1,15.3,2.6,1.4,0.7,1.0,0.2,-1.0
George Hill,PHI,35,30,16,14,22.4,8.7,2.0,2.4,1.0,0.8,0.2,-0.3
Georges Niang,UTA,28,72,52,20,16.0,6.9,2.4,0.8,0.7,0.3,0.1,4.9
Giannis Antetokounmpo,MIL,26,61,40,21,33.0,28.1,11.0,5.9,3.4,1.2,1.2,6.7
Glenn Robinson III,SAC,27,23,9,14,16.1,5.3,2.0,0.9,0.5,0.2,0.1,-5.7
Goga Bitadze,IND,21,45,19,26,12.5,5.1,3.3,0.8,0.4,0.2,1.3,-0.4
Goran Dragic,MIA,35,50,30,20,26.7,13.4,3.4,4.4,2.4,0.7,0.2,0.8
Gordon Hayward,CHA,31,44,24,20,34.0,19.6,5.9,4.1,2.1,1.2,0.3,0.4
Gorgui Dieng,SAS,31,38,14,24,14.5,6.8,3.7,1.3,0.8,0.7,0.4,-1.8
Grant Riller,CHA,24,7,2,5,3.9,2.6,0.1,0.4,0.1,0.1,0.0,-0.6
Grant Williams,BOS,22,63,30,33,18.1,4.7,2.8,1.0,0.9,0.5,0.4,-0.8
Grayson Allen,MEM,25,50,26,24,25.2,10.6,3.2,2.2,1.0,0.9,0.2,0.2
Greg Whittington,DEN,28,4,3,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3
Hamidou Diallo,DET,22,52,18,34,23.6,11.6,5.2,1.9,1.5,0.8,0.5,-3.7
Harrison Barnes,SAC,29,58,25,33,36.2,16.1,6.6,3.5,1.6,0.7,0.2,-1.0
Harry Giles III,POR,23,38,23,15,9.2,2.8,3.5,0.8,0.5,0.2,0.3,-2.1
Hassan Whiteside,SAC,32,36,16,20,15.2,8.1,6.0,0.6,1.1,0.3,1.3,-2.9
Henry Ellenson,TOR,24,2,0,2,19.2,7.5,6.0,2.5,0.0,0.0,0.0,3.5
Ignas Brazdeikis,ORL,22,13,3,10,19.1,7.0,3.5,1.3,0.9,0.3,0.2,-2.1
Iman Shumpert,BKN,31,2,1,1,5.5,1.0,0.5,0.0,0.5,0.5,0.0,-0.5
Immanuel Quickley,NYK,22,64,37,27,19.4,11.4,2.1,2.0,0.9,0.5,0.2,2.8
Isaac Bonga,WAS,21,40,16,24,10.8,2.0,1.7,0.6,0.6,0.3,0.2,-0.9
Isaac Okoro,CLE,20,67,20,47,32.4,9.6,3.1,1.9,1.3,0.9,0.4,-6.1
Isaiah Hartenstein,CLE,23,46,20,26,12.1,5.1,3.9,1.2,1.0,0.4,0.8,0.0
Isaiah Joe,PHI,21,41,22,19,9.3,3.7,0.9,0.5,0.3,0.3,0.1,0.0
Isaiah Roby,OKC,23,61,19,42,23.4,8.7,5.6,1.8,1.9,0.9,0.6,-7.2
Isaiah Stewart,DET,20,68,20,48,21.4,7.9,6.7,0.9,1.0,0.6,1.3,-0.9
Isaiah Thomas,NOP,32,3,1,2,16.1,7.7,1.3,1.7,2.0,0.3,0.0,2.7
Ish Smith,WAS,32,44,23,21,21.0,6.7,3.4,3.9,0.9,0.7,0.3,1.2
Ivica Zubac,LAC,24,72,47,25,22.3,9.0,7.2,1.3,1.1,0.3,0.9,2.5
Ja Morant,MEM,21,63,33,30,32.6,19.1,4.0,7.4,3.2,0.9,0.2,1.7
Jabari Parker,BOS,26,13,4,9,12.7,5.5,3.2,0.8,0.8,0.1,0.4,-1.1
Jaden McDaniels,MIN,20,63,18,45,24.0,6.8,3.7,1.1,0.7,0.6,1.0,-1.6
Jae Crowder,PHX,30,60,42,18,27.5,10.1,4.7,2.1,0.9,0.8,0.5,3.6
Jae'Sean Tate,HOU,25,70,17,53,29.2,11.3,5.3,2.5,1.4,1.2,0.5,-2.7
Jahlil Okafor,DET,25,27,5,22,12.9,5.4,2.4,0.5,0.8,0.2,0.2,-3.1
Jahmi'us Ramsey,SAC,20,13,5,8,7.3,3.1,0.8,0.5,0.2,0.3,0.1,0.2
JaKarr Sampson,IND,28,29,14,15,10.9,4.6,2.7,0.1,0.5,0.1,0.5,0.1
Jake Layman,MIN,27,45,12,33,13.9,5.1,1.5,0.6,0.6,0.6,0.4,-1.8
Jakob Poeltl,SAS,25,69,32,37,26.7,8.6,7.9,1.9,1.2,0.7,1.8,1.6
Jalen Brunson,DAL,24,68,40,28,25.0,12.6,3.4,3.5,1.2,0.5,0.0,2.4
Jalen Harris,TOR,22,13,3,10,13.2,7.4,1.4,1.3,1.1,0.6,0.0,-0.1
Jalen Lecque,IND,21,4,2,2,3.0,1.3,1.3,0.5,0.0,0.0,0.0,-1.0
Jalen McDaniels,CHA,23,47,18,29,19.2,7.4,3.6,1.1,1.0,0.6,0.4,-3.8
Jalen Smith,PHX,21,27,19,8,5.8,2.0,1.4,0.1,0.3,0.0,0.1,-0.6
Jamal Murray,DEN,24,48,31,17,35.5,21.2,4.0,4.8,2.3,1.3,0.3,6.3
James Ennis III,ORL,30,41,12,29,24.1,8.4,4.0,1.5,0.9,0.8,0.2,-1.8
James Harden,BKN,31,44,31,13,36.6,24.6,7.9,10.8,4.0,1.2,0.8,2.3
James Johnson,NOP,34,51,21,30,20.5,7.2,3.5,1.9,1.1,0.8,0.8,-2.5
James Nunnally,NOP,30,9,3,6,5.3,1.7,1.0,0.3,0.2,0.0,0.0,-0.4
James Wiseman,GSW,20,39,18,21,21.4,11.5,5.8,0.7,1.5,0.3,0.9,-4.7
JaMychal Green,DEN,31,58,38,20,19.3,8.1,4.8,0.9,0.9,0.4,0.4,1.7
Jared Dudley,LAL,35,12,7,5,6.7,0.5,1.8,0.4,0.2,0.1,0.1,0.2
Jared Harper,NYK,23,8,5,3,2.0,0.4,0.3,0.1,0.4,0.0,0.0,-0.6
Jaren Jackson Jr.,MEM,21,11,4,7,23.5,14.4,5.6,1.1,1.4,1.1,1.6,-5.8
Jarred Vanderbilt,MIN,22,64,18,46,17.8,5.4,5.8,1.2,0.8,1.0,0.7,-0.8
Jarrell Brantley,UTA,25,28,23,5,4.9,2.3,1.0,0.5,0.3,0.3,0.1,-0.9
Jarrett Allen,CLE,23,63,20,43,29.6,12.8,10.0,1.7,1.6,0.5,1.4,-3.2
Jarrett Culver,MIN,22,34,7,27,14.7,5.3,3.1,0.7,0.8,0.5,0.3,-3.9
JaVale McGee,DEN,33,46,21,25,14.7,7.3,5.2,0.8,1.3,0.4,1.2,-1.9
Javonte Green,CHI,27,41,19,22,11.6,3.6,1.7,0.4,0.5,0.7,0.1,0.4
Jaxson Hayes,NOP,21,60,24,36,16.1,7.5,4.3,0.6,0.7,0.4,0.6,-0.4
Jay Scrubb,LAC,20,4,2,2,21.0,8.8,3.5,0.3,1.8,1.0,0.0,0.5
Jaylen Adams,MIL,25,7,5,2,2.6,0.3,0.4,0.3,0.0,0.0,0.0,-1.7
Jaylen Brown,BOS,24,58,30,28,34.5,24.7,6.0,3.4,2.7,1.2,0.6,1.2
Jaylen Hoard,OKC,22,19,1,18,16.8,6.1,3.4,1.3,0.9,0.7,0.3,-3.3
Jaylen Nowell,MIN,21,42,10,32,18.1,9.0,2.3,1.5,0.7,0.5,0.3,-2.4
Jayson Tatum,BOS,23,64,34,30,35.8,26.4,7.4,4.3,2.7,1.2,0.5,2.5
Jeff Green,BKN,34,68,44,24,27.0,11.0,3.9,1.6,0.8,0.5,0.4,1.7
Jeff Teague,MIL,33,55,27,28,17.3,6.7,1.6,2.4,1.2,0.6,0.2,1.0
Jerami Grant,DET,27,54,15,39,33.9,22.3,4.6,2.8,2.0,0.6,1.1,-2.2
Jeremiah Martin,CLE,25,9,0,9,8.4,2.4,0.8,0.4,0.7,0.6,0.2,-2.9
Jeremy Lamb,IND,29,36,16,20,21.3,10.1,3.6,1.5,0.6,0.9,0.6,-0.4
Jerome Robinson,WAS,24,17,5,12,17.9,4.9,2.2,1.5,1.1,0.7,0.4,-5.9
Jevon Carter,PHX,25,60,42,18,11.9,4.1,1.5,1.2,0.3,0.5,0.2,0.5
Jimmy Butler,MIA,31,52,33,19,33.6,21.5,6.9,7.1,2.1,2.1,0.3,3.8
JJ Redick,DAL,37,44,22,22,16.4,7.4,1.5,1.2,0.8,0.3,0.1,0.0
Joe Harris,BKN,29,69,45,24,31.0,14.1,3.6,1.9,0.9,0.7,0.2,5.1
Joe Ingles,UTA,33,67,47,20,27.9,12.1,3.6,4.7,1.7,0.7,0.2,6.8
Joel Embiid,PHI,27,51,39,12,31.1,28.5,10.6,2.8,3.1,1.0,1.4,7.9
