ID,TEAM,GP,W,L,PTS,REB,AST,TOV,STL,BLK,+/-
PHX,Phoenix Suns,82,64,18,114.8,45.3,27.4,12.9,8.6,4.4,7.5
MEM,Memphis Grizzlies,82,56,26,115.6,49.2,26.0,13.2,9.8,6.5,5.7
GSW,Golden State Warriors,82,53,29,111.0,45.5,27.1,14.9,8.8,4.5,5.5
MIA,Miami Heat,82,53,29,110.0,43.7,25.5,14.6,7.4,3.2,4.5
DAL,Dallas Mavericks,82,52,30,108.0,43.0,23.4,12.5,6.7,4.0,3.3
BOS,Boston Celtics,82,51,31,111.8,46.1,24.8,13.6,7.2,5.8,7.3
MIL,Milwaukee Bucks,82,51,31,115.5,46.7,23.9,13.4,7.6,4.0,3.4
PHI,Philadelphia 76ers,82,51,31,109.9,42.3,23.7,12.5,7.7,5.3,2.6
UTA,Utah Jazz,82,49,33,113.6,46.3,22.4,14.0,7.2,4.9,6.0
DEN,Denver Nuggets,82,48,34,112.7,44.1,27.8,14.5,7.2,3.7,2.3
TOR,Toronto Raptors,82,48,34,109.4,45.3,22.1,12.5,9.0,4.6,2.3
CHI,Chicago Bulls,82,46,36,111.6,42.3,23.9,12.8,7.1,4.1,-0.4
MIN,Minnesota Timberwolves,82,46,36,115.9,44.2,25.7,14.3,8.8,5.6,2.6
BKN,Brooklyn Nets,82,44,38,112.9,44.4,25.3,14.1,7.1,5.5,0.8
CLE,Cleveland Cavaliers,82,44,38,107.8,44.2,25.2,14.4,7.1,4.2,2.1
ATL,Atlanta Hawks,82,43,39,113.9,44.0,24.6,11.9,7.2,4.2,1.6
CHA,Charlotte Hornets,82,43,39,115.3,44.6,28.1,13.3,8.6,4.9,0.4
LAC,LA Clippers,82,42,40,108.4,44.0,24.0,13.7,7.4,5.0,0.0
NYK,New York Knicks,82,37,45,106.5,46.1,21.9,13.3,7.0,4.9,-0.1
NOP,New Orleans Pelicans,82,36,46,109.3,45.2,25.0,14.1,8.3,4.0,-1.0
WAS,Washington Wizards,82,35,47,108.6,43.1,25.0,13.1,6.4,5.0,-3.4
SAS,San Antonio Spurs,82,34,48,113.2,45.3,27.9,12.7,7.6,4.9,0.1
LAL,Los Angeles Lakers,82,33,49,112.1,44.0,24.0,14.5,7.6,5.2,-3.0
SAC,Sacramento Kings,82,30,52,110.3,42.9,23.7,14.1,7.2,4.5,-5.5
POR,Portland Trail Blazers,82,27,55,106.2,42.9,22.9,14.5,8.0,4.5,-8.9
IND,Indiana Pacers,82,25,57,111.5,43.9,25.4,14.4,7.1,5.6,-3.5
OKC,Oklahoma City Thunder,82,24,58,103.7,45.6,22.2,14.0,7.6,4.6,-8.1
DET,Detroit Pistons,82,23,59,104.8,43.0,23.5,14.2,7.7,4.8,-7.7
ORL,Orlando Magic,82,22,60,104.2,44.3,23.7,14.5,6.8,4.5,-8.0
HOU,Houston Rockets,82,20,62,109.7,42.0,23.6,16.5,7.3,4.7,-8.5
