PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER
Cody Zeller,CHA,27,7-0,240,Indiana,USA,2013,1,4
Collin Sexton,CLE,21,6-1,190,Alabama,USA,2018,1,8
Corey Brewer,SAC,34,6-9,188,Florida,USA,2007,1,7
Cory Joseph,SAC,28,6-3,200,Texas-Austin,Canada,2011,1,29
Courtney Lee,DAL,34,6-5,215,Western Kentucky,USA,2008,1,22
Cristiano Felicio,CHI,27,6-10,270,None,Brazil,Undrafted,Undrafted,Undrafted
D'Angelo Russell,MIN,24,6-4,193,Ohio State,USA,2015,1,2
D.J. Augustin,ORL,32,5-11,183,Texas-Austin,USA,2008,1,9
D.J. Wilson,MIL,24,6-10,231,Michigan,USA,2017,1,17
DaQuan Jeffries,SAC,22,6-5,230,Tulsa,USA,Undrafted,Undrafted,Undrafted
Damian Jones,ATL,25,6-11,245,Vanderbilt,USA,2016,1,30
Damian Lillard,POR,29,6-2,195,Weber State,USA,2012,1,6
Damion Lee,GSW,27,6-5,210,Drexel,USA,Undrafted,Undrafted,Undrafted
Damyean Dotson,NYK,26,6-5,210,Houston,USA,2017,2,44
Daniel Gafford,CHI,21,6-10,234,Arkansas,USA,2019,2,38
Daniel Theis,BOS,28,6-8,245,None,Germany,Undrafted,Undrafted,Undrafted
Danilo Gallinari,OKC,31,6-10,233,None,Italy,2008,1,6
Danny Green,LAL,33,6-6,215,North Carolina,USA,2009,2,46
Dante Exum,CLE,24,6-5,214,None,Australia,2014,1,5
Danuel House Jr.,HOU,27,6-6,220,Texas A&M,USA,Undrafted,Undrafted,Undrafted
Dario Saric,PHX,26,6-10,225,None,Croatia,2014,1,12
Darius Bazley,OKC,20,6-8,208,None,USA,2019,1,23
Darius Garland,CLE,20,6-1,192,Vanderbilt,USA,2019,1,5
Daryl Macon,MIA,24,6-2,185,Arkansas,USA,2018,,
David Nwaba,HOU,27,6-5,219,Cal Poly,USA,Undrafted,Undrafted,Undrafted
Davis Bertans,WAS,27,6-10,225,None,Latvia,2011,2,42
De'Aaron Fox,SAC,22,6-3,185,Kentucky,USA,2017,1,5
De'Andre Hunter,ATL,22,6-7,225,Virginia,USA,2019,1,4
De'Anthony Melton,MEM,22,6-2,200,Southern California,USA,2018,2,46
DeAndre Jordan,BKN,31,6-11,265,Texas A&M,USA,2008,2,35
DeAndre' Bembry,ATL,25,6-5,210,St. Joseph's (PA),USA,2016,1,21
DeMar DeRozan,SAS,30,6-6,220,Southern California,USA,2009,1,9
DeMarre Carroll,HOU,33,6-6,215,Missouri,USA,2009,1,27
Dean Wade,CLE,23,6-9,228,Kansas State,USA,Undrafted,Undrafted,Undrafted
Deandre Ayton,PHX,21,6-11,250,Arizona,Bahamas,2018,1,1
Dejounte Murray,SAS,23,6-4,180,Washington,USA,2016,1,29
Delon Wright,DAL,28,6-5,185,Utah,USA,2015,1,20
Dennis Schroder,OKC,26,6-1,172,None,Germany,2013,1,17
Dennis Smith Jr.,NYK,22,6-2,205,North Carolina State,USA,2017,1,9
Denzel Valentine,CHI,26,6-4,220,Michigan State,USA,2016,1,14
Deonte Burton,OKC,26,6-4,240,Iowa State,USA,Undrafted,Undrafted,Undrafted
Derrick Favors,NOP,28,6-9,265,Georgia Tech,USA,2010,1,3
Derrick Jones Jr.,MIA,23,6-6,210,UNLV,USA,Undrafted,Undrafted,Undrafted
Derrick Rose,DET,31,6-2,200,Memphis,USA,2008,1,1
Derrick Walton Jr.,DET,25,6-0,185,Michigan,USA,Undrafted,Undrafted,Undrafted
Derrick White,SAS,25,6-4,190,Colorado,USA,2017,1,29
Devin Booker,PHX,23,6-5,206,Kentucky,USA,2015,1,13
Devon Hall,OKC,24,6-5,215,Virginia,USA,2018,2,53
Devontae Cacok,LAL,23,6-8,240,North Carolina-Wilmington,USA,Undrafted,Undrafted,Undrafted
Devonte' Graham,CHA,25,6-1,195,Kansas,USA,2018,2,34
Dewan Hernandez,TOR,23,6-10,235,Miami,USA,2019,2,59
Dewayne Dedmon,ATL,30,7-0,245,Southern California,USA,Undrafted,Undrafted,Undrafted
Dillon Brooks,MEM,24,6-7,225,Oregon,Canada,2017,2,45
