PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER
Marques Bolden,CLE,22,6-10,249,Duke,USA,2019,,
Marquese Chriss,GSW,22,6-9,240,Washington,USA,2016,1,8
Marvin Bagley III,SAC,21,6-11,235,Duke,USA,2018,1,2
Marvin Williams,MIL,34,6-8,237,North Carolina,USA,2005,1,2
Mason Plumlee,DEN,30,6-11,254,Duke,USA,2013,1,22
Matisse Thybulle,PHI,23,6-5,201,Washington,USA,2019,1,20
Matt Mooney,CLE,25,6-2,199,Texas Tech,USA,Undrafted,Undrafted,Undrafted
Matt Thomas,TOR,25,6-4,190,Iowa State,USA,Undrafted,Undrafted,Undrafted
Matthew Dellavedova,CLE,29,6-3,200,St.Mary's College of California,Australia,Undrafted,Undrafted,Undrafted
Maurice Harkless,NYK,27,6-7,220,St. John's,USA,2012,1,15
Max Strus,CHI,24,6-5,215,DePaul,USA,Undrafted,Undrafted,Undrafted
Maxi Kleber,DAL,28,6-10,240,None,Germany,Undrafted,Undrafted,Undrafted
Melvin Frazier Jr.,ORL,23,6-5,215,Tulane,USA,2018,2,35
Meyers Leonard,MIA,28,7-0,260,Illinois,USA,2012,1,11
Mfiondu Kabengele,LAC,22,6-9,250,Florida State,Canada,2019,1,27
Michael Carter-Williams,ORL,28,6-5,190,Syracuse,USA,2013,1,11
Michael Frazier II,HOU,26,6-3,200,Florida,USA,Undrafted,Undrafted,Undrafted
Michael Kidd-Gilchrist,DAL,26,6-6,232,Kentucky,USA,2012,1,2
Michael Porter Jr.,DEN,22,6-10,218,Missouri,USA,2018,1,14
Mikal Bridges,PHX,23,6-6,209,Villanova,USA,2018,1,10
Mike Conley,UTA,32,6-1,175,Ohio State,USA,2007,1,4
Mike Muscala,OKC,28,6-10,240,Bucknell,USA,2013,2,44
Mike Scott,PHI,31,6-7,237,Virginia,USA,2012,2,43
Miles Bridges,CHA,22,6-6,225,Michigan State,USA,2018,1,12
Mitchell Robinson,NYK,22,7-0,240,Western Kentucky,USA,2018,2,36
Miye Oni,UTA,22,6-5,206,Yale,USA,2019,2,58
Mo Bamba,ORL,22,7-0,231,Texas-Austin,USA,2018,1,6
Monte Morris,DEN,25,6-2,183,Iowa State,USA,2017,2,51
Montrezl Harrell,LAC,26,6-7,240,Louisville,USA,2015,2,32
Moritz Wagner,WAS,23,6-11,245,Michigan,Germany,2018,1,25
Moses Brown,POR,20,7-2,245,UCLA,USA,Undrafted,Undrafted,Undrafted
Mychal Mulder,GSW,26,6-3,184,Kentucky,Canada,Undrafted,Undrafted,Undrafted
Myles Turner,IND,24,6-11,250,Texas-Austin,USA,2015,1,11
Nassir Little,POR,20,6-5,220,North Carolina,USA,2019,1,25
Naz Mitrou-Long,IND,26,6-3,218,Iowa State,Canada,Undrafted,Undrafted,Undrafted
Naz Reid,MIN,20,6-9,264,Louisiana State,USA,Undrafted,Undrafted,Undrafted
Nemanja Bjelica,SAC,32,6-10,234,None,Serbia,2010,2,35
Nerlens Noel,OKC,26,6-10,220,Kentucky,USA,2013,1,6
Nic Claxton,BKN,21,6-11,215,Georgia,USA,2019,2,31
Nickeil Alexander-Walker,NOP,21,6-5,205,Virginia Tech,Canada,2019,1,17
Nicolas Batum,CHA,31,6-9,230,None,France,2008,1,25
Nicolo Melli,NOP,29,6-9,236,None,Italy,Undrafted,Undrafted,Undrafted
Nigel Williams-Goss,UTA,25,6-2,190,Gonzaga,USA,2017,2,55
Nikola Jokic,DEN,25,7-0,284,None,Serbia,2014,2,41
Nikola Vucevic,ORL,29,6-11,260,Southern California,Montenegro,2011,1,16
Noah Vonleh,DEN,24,6-10,257,Indiana,USA,2014,1,9
Norman Powell,TOR,27,6-3,215,UCLA,USA,2015,2,46
Norvel Pelle,PHI,27,6-10,231,Iona,USA,Undrafted,Undrafted,Undrafted
OG Anunoby,TOR,22,6-7,232,Indiana,United Kingdo...,2017,1,23
Omari Spellman,MIN,22,6-8,245,Villanova,USA,2018,1,30
Oshae Brissett,TOR,22,6-7,210,Syracuse,Canada,Undrafted,Undrafted,Undrafted
Otto Porter Jr.,CHI,27,6-8,198,Georgetown,USA,2013,1,3
P.J. Dozier,DEN,23,6-6,205,South Carolina,USA,Undrafted,Undrafted,Undrafted
P.J. Tucker,HOU,35,6-5,245,Texas-Austin,USA,2006,2,35
P.J. Washington,CHA,21,6-7,230,Kentucky,USA,2019,1,12
Pascal Siakam,TOR,26,6-9,230,New Mexico State,Cameroon,2016,1,27
Pat Connaughton,MIL,27,6-5,209,Notre Dame,USA,2015,2,41
Patrick Beverley,LAC,31,6-1,180,Arkansas,USA,2009,2,42
Patrick McCaw,TOR,24,6-7,181,UNLV,USA,2016,2,38
Patrick Patterson,LAC,31,6-8,235,Kentucky,USA,2010,1,14
Patty Mills,SAS,31,6-1,180,St.Mary's College of California,Australia,2009,2,55
Paul George,LAC,30,6-8,220,Fresno State,USA,2010,1,10
Paul Millsap,DEN,35,6-7,257,Louisiana Tech,USA,2006,2,47
Paul Watson,TOR,25,6-6,210,Fresno State,USA,Undrafted,Undrafted,Undrafted
Quinn Cook,LAL,27,6-1,180,Duke,USA,Undrafted,Undrafted,Undrafted
Quinndary Weatherspoon,SAS,23,6-3,205,Mississippi State,USA,2019,2,49
RJ Barrett,NYK,20,6-6,214,Duke,Canada,2019,1,3
Rajon Rondo,LAL,34,6-1,180,Kentucky,USA,2006,1,21
Raul Neto,PHI,28,6-1,180,None,Brazil,2013,2,47
Rayjon Tucker,UTA,22,6-3,209,Arkansas-Little Rock,USA,Undrafted,Undrafted,Undrafted
Reggie Bullock,NYK,29,6-6,205,North Carolina,USA,2013,1,25
Reggie Jackson,LAC,30,6-3,208,Boston College,USA,2011,1,24
Richaun Holmes,SAC,26,6-10,235,Bowling Green,USA,2015,2,37
Ricky Rubio,PHX,29,6-3,190,None,Spain,2009,1,5
Robert Covington,HOU,29,6-7,209,Tennessee State,USA,Undrafted,Undrafted,Undrafted
Robert Williams III,BOS,22,6-8,237,Texas A&M,USA,2018,1,27
Robin Lopez,MIL,32,7-0,281,Stanford,USA,2008,1,15
Rodions Kurucs,BKN,22,6-9,228,None,Latvia,2018,2,40
Rodney Hood,POR,27,6-8,208,Duke,USA,2014,1,23
Rodney McGruder,LAC,28,6-4,205,Kansas State,USA,Undrafted,Undrafted,Undrafted
Romeo Langford,BOS,20,6-4,216,Indiana,USA,2019,1,14
Rondae Hollis-Jefferson,TOR,25,6-6,217,Arizona,USA,2015,1,23
Royce O'Neale,UTA,27,6-4,226,Baylor,USA,Undrafted,Undrafted,Undrafted
Rudy Gay,SAS,33,6-8,250,Connecticut,USA,2006,1,8
Rudy Gobert,UTA,28,7-1,258,None,France,2013,1,27
Rui Hachimura,WAS,22,6-8,230,Gonzaga,Japan,2019,1,9
Russell Westbrook,HOU,31,6-3,200,UCLA,USA,2008,1,4
Ryan Anderson,HOU,32,6-9,240,California,USA,2008,1,21
Ryan Arcidiacono,CHI,26,6-3,195,Villanova,USA,Undrafted,Undrafted,Undrafted
Ryan Broekhoff,PHI,29,6-6,215,Valparaiso,Australia,Undrafted,Undrafted,Undrafted
Sekou Doumbouya,DET,19,6-8,230,None,France,2019,1,15
Semi Ojeleye,BOS,25,6-6,240,Southern Methodist,USA,2017,2,37
Serge Ibaka,TOR,30,7-0,235,None,Republic of t...,2008,1,24
Seth Curry,DAL,29,6-2,185,Duke,USA,Undrafted,Undrafted,Undrafted
Shabazz Napier,WAS,28,6-0,175,Connecticut,USA,2014,1,24
Shai Gilgeous-Alexander,OKC,21,6-5,180,Kentucky,Canada,2018,1,11
Shake Milton,PHI,23,6-5,205,Southern Methodist,USA,2018,2,54
Shamorie Ponds,TOR,22,6-0,175,St. John's,USA,Undrafted,Undrafted,Undrafted
Shaquille Harrison,CHI,26,6-7,190,Tulsa,USA,Undrafted,Undrafted,Undrafted
Sindarius Thornwell,NOP,25,6-4,215,South Carolina,USA,2017,2,48
Skal Labissiere,ATL,24,6-10,235,Kentucky,Haiti,2016,1,28
Solomon Hill,MIA,29,6-6,226,Arizona,USA,2013,1,23
Spencer Dinwiddie,BKN,27,6-5,215,Colorado,USA,2014,2,38
Stanley Johnson,TOR,24,6-6,242,Arizona,USA,2015,1,8
Stanton Kidd,UTA,28,6-6,216,Colorado State,USA,Undrafted,Undrafted,Undrafted
Stephen Curry,GSW,32,6-3,185,Davidson,USA,2009,1,7
Sterling Brown,MIL,25,6-5,219,Southern Methodist,USA,2017,2,46
Steven Adams,OKC,26,6-11,265,Pittsburgh,New Zealand,2013,1,12
Svi Mykhailiuk,DET,23,6-7,205,Kansas,Ukraine,2018,2,47
T.J. Leaf,IND,23,6-10,222,UCLA,USA,2017,1,18
T.J. McConnell,IND,28,6-1,190,Arizona,USA,2015,0,
T.J. Warren,IND,26,6-8,220,North Carolina State,USA,2014,1,14
Tacko Fall,BOS,24,7-5,311,Central Florida,Senegal,Undrafted,Undrafted,Undrafted
Taj Gibson,NYK,35,6-9,232,Southern California,USA,2009,1,26
Talen Horton-Tucker,LAL,19,6-4,234,Iowa State,USA,2019,2,46
Tariq Owens,PHX,25,6-10,205,Texas Tech,USA,Undrafted,Undrafted,Undrafted
Taurean Prince,BKN,26,6-7,218,Baylor,USA,2016,1,12
Terance Mann,LAC,23,6-5,215,Florida State,USA,2019,2,48
Terence Davis,TOR,23,6-4,201,Mississippi,USA,Undrafted,Undrafted,Undrafted
Terrance Ferguson,OKC,22,6-6,190,None,USA,2017,1,21
Terrence Ross,ORL,29,6-6,206,Washington,USA,2012,1,8
Terry Rozier,CHA,26,6-1,190,Louisville,USA,2015,1,16
Thabo Sefolosha,HOU,36,6-6,215,None,Switzerland,2006,1,13
Thaddeus Young,CHI,32,6-8,235,Georgia Tech,USA,2007,1,12
Thanasis Antetokounmpo,MIL,27,6-6,219,None,Greece,2014,2,51
Theo Pinson,NYK,24,6-5,212,North Carolina,USA,Undrafted,Undrafted,Undrafted
Thomas Bryant,WAS,22,6-10,248,Indiana,USA,2017,2,42
Thon Maker,DET,23,7-0,221,None,South Sudan,2016,1,10
Tim Frazier,DET,29,6-0,170,Penn State,USA,Undrafted,Undrafted,Undrafted
Tim Hardaway Jr.,DAL,28,6-5,205,Michigan,USA,2013,1,24
Timothe Luwawu-Cabarrot,BKN,25,6-7,220,None,France,2016,1,24
Tobias Harris,PHI,27,6-8,226,Tennessee,USA,2011,1,19
Tomas Satoransky,CHI,28,6-7,210,None,Czech Republi...,2012,2,32
Tony Bradley,UTA,22,6-10,248,North Carolina,USA,2017,1,28
Tony Snell,DET,28,6-6,213,New Mexico,USA,2013,1,20
Torrey Craig,DEN,29,6-7,221,South Carolina Upstate,USA,Undrafted,Undrafted,Undrafted
Trae Young,ATL,21,6-1,180,Oklahoma,USA,2018,1,5
Tremont Waters,BOS,22,5-10,175,Louisiana State,USA,2019,2,51
Treveon Graham,ATL,26,6-5,219,Virginia Commonwealth,USA,Undrafted,Undrafted,Undrafted
Trevor Ariza,POR,35,6-8,215,UCLA,USA,2004,2,43
Trey Burke,DAL,27,6-0,185,Michigan,USA,2013,1,9
Trey Lyles,SAS,24,6-9,234,Kentucky,Canada,2015,1,12
Tristan Thompson,CLE,29,6-9,254,Texas-Austin,Canada,2011,1,4
Troy Brown Jr.,WAS,20,6-6,215,Oregon,USA,2018,1,15
Troy Daniels,DEN,28,6-4,200,Va Commonwealth,USA,Undrafted,Undrafted,Undrafted
Ty Jerome,PHX,22,6-5,195,Virginia,USA,2019,1,24
Tyler Cook,DEN,22,6-8,255,Iowa,USA,Undrafted,Undrafted,Undrafted
Tyler Herro,MIA,20,6-5,195,Kentucky,USA,2019,1,13
Tyler Johnson,BKN,28,6-3,186,Fresno State,USA,Undrafted,Undrafted,Undrafted
Tyler Zeller,SAS,30,6-11,250,North Carolina,USA,2012,1,17
Tyrone Wallace,ATL,26,6-5,198,California,USA,2016,2,60
Tyson Chandler,HOU,37,7-0,235,None,USA,2001,1,2
Tyus Jones,MEM,24,6-0,196,Duke,USA,2015,1,24
Udonis Haslem,MIA,40,6-8,235,Florida,USA,Undrafted,Undrafted,Undrafted
Vic Law,ORL,24,6-7,201,Northwestern,USA,Undrafted,Undrafted,Undrafted
Victor Oladipo,IND,28,6-4,213,Indiana,USA,2013,1,2
Vince Carter,ATL,43,6-6,220,North Carolina,USA,1998,1,5
Vincent Poirier,BOS,26,7-0,235,None,France,Undrafted,Undrafted,Undrafted
Vlatko Cancar,DEN,23,6-8,236,None,Slovenia,2017,2,49
Wayne Ellington,NYK,32,6-4,207,North Carolina,USA,2009,1,28
Wendell Carter Jr.,CHI,21,6-9,270,Duke,USA,2018,1,7
Wenyen Gabriel,POR,23,6-9,205,Kentucky,South Sudan,Undrafted,Undrafted,Undrafted
Wes Iwundu,ORL,25,6-6,195,Kansas State,USA,2017,2,33
Wesley Matthews,MIL,33,6-4,220,Marquette,USA,Undrafted,Undrafted,Undrafted
Will Barton,DEN,29,6-5,181,Memphis,USA,2012,2,40
William Howard,HOU,26,6-8,207,None,France,Undrafted,Undrafted,Undrafted
Willie Cauley-Stein,DAL,26,7-0,240,Kentucky,USA,2015,1,6
Willy Hernangomez,CHA,26,6-11,250,None,Spain,2015,2,35
Wilson Chandler,BKN,33,6-8,235,DePaul,USA,2007,1,23
Yogi Ferrell,SAC,27,6-0,178,Indiana,USA,Undrafted,Undrafted,Undrafted
Yuta Watanabe,MEM,25,6-8,215,George Washington,Japan,Undrafted,Undrafted,Undrafted
Zach Collins,POR,22,6-11,250,Gonzaga,USA,2017,1,10
Zach LaVine,CHI,25,6-6,200,UCLA,USA,2014,1,13
Zach Norvell Jr.,GSW,22,6-5,205,Gonzaga,USA,2019,,
Zhaire Smith,PHI,21,6-3,205,Texas Tech,USA,2018,1,16
Zion Williamson,NOP,19,6-6,284,Duke,USA,2019,1,1
Zylan Cheatham,NOP,24,6-5,220,Arizona State,USA,Undrafted,Undrafted,Undrafted
