PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,REB,AST,TOV,STL,BLK,+/-
Miles McBride,NYK,21,40,19,21,9.3,2.2,1.1,1.0,0.1,0.4,0.0,2.5
Mitchell Robinson,NYK,24,72,32,40,25.7,8.5,8.6,0.5,0.8,0.8,1.8,-1.1
Miye Oni,UTA,24,16,15,1,2.8,0.3,0.4,0.3,0.1,0.0,0.0,-2.0
MJ Walker,PHX,24,2,1,1,4.2,0.0,0.5,0.5,0.0,1.0,0.0,-1.5
Mo Bamba,ORL,23,71,19,52,25.7,10.6,8.1,1.2,1.1,0.5,1.7,-5.3
Monte Morris,DEN,26,75,44,31,29.9,12.6,3.0,4.4,1.0,0.7,0.2,3.8
Montrezl Harrell,CHA,28,71,36,35,23.1,13.1,6.1,2.0,1.0,0.4,0.6,1.2
Moritz Wagner,ORL,25,63,16,47,15.2,9.0,3.7,1.4,0.9,0.3,0.2,-2.4
Moses Brown,CLE,22,40,19,21,8.6,4.3,3.4,0.0,0.5,0.2,0.4,-1.2
Moses Moody,GSW,19,52,35,17,11.7,4.4,1.5,0.4,0.3,0.1,0.2,-0.8
Moses Wright,DAL,23,4,4,0,3.7,1.3,0.8,0.5,0.0,0.0,0.3,-1.8
Mychal Mulder,MIA,27,17,3,14,14.1,4.1,1.4,0.3,0.5,0.2,0.1,-3.2
Myles Powell,PHI,24,11,8,3,4.7,1.2,0.5,0.3,0.3,0.1,0.0,-1.6
Myles Turner,IND,26,42,15,27,29.4,12.9,7.1,1.0,1.3,0.7,2.8,-0.3
Naji Marshall,NOP,24,55,23,32,13.4,5.7,2.6,1.1,0.8,0.6,0.1,-0.9
Nassir Little,POR,22,42,19,23,25.9,9.8,5.6,1.3,1.0,0.6,0.9,-0.5
Nate Hinton,IND,22,2,0,2,1.2,0.0,0.0,0.0,0.5,0.0,0.0,2.0
Nathan Knight,MIN,24,37,22,15,7.2,3.7,2.3,0.6,0.5,0.2,0.2,0.6
Naz Reid,MIN,22,77,42,35,15.8,8.3,3.9,0.9,1.1,0.5,0.9,-1.2
Neemias Queta,SAC,22,15,4,11,8.0,3.0,2.1,0.4,0.4,0.1,0.5,-0.5
Nemanja Bjelica,GSW,33,71,48,23,16.1,6.1,4.1,2.2,1.2,0.6,0.4,1.8
Nerlens Noel,NYK,28,25,10,15,22.5,3.4,5.6,0.9,0.8,1.2,1.2,-2.7
Nic Claxton,BKN,23,47,24,23,20.7,8.7,5.6,0.9,0.8,0.5,1.1,-0.6
Nick Richards,CHA,24,50,25,25,7.3,3.0,1.7,0.3,0.5,0.2,0.4,-2.2
Nickeil Alexander-Walker,UTA,23,65,29,36,22.6,10.6,2.9,2.4,1.4,0.7,0.4,-1.7
Nicolas Batum,LAC,33,59,31,28,24.8,8.3,4.3,1.7,0.7,1.0,0.7,-2.2
Nik Stauskas,BOS,28,8,7,1,4.8,2.3,0.4,0.3,0.1,0.0,0.0,2.3
Nikola Jokic,DEN,27,74,46,28,33.5,27.1,13.8,7.9,3.8,1.5,0.9,6.0
Nikola Vucevic,CHI,31,73,41,32,33.1,17.6,11.0,3.2,1.9,1.0,1.0,-0.7
Norman Powell,LAC,28,45,15,30,32.4,19.0,3.2,2.1,1.5,0.9,0.5,-4.9
Norvel Pelle,UTA,29,3,0,3,6.3,2.0,2.0,0.0,0.7,0.0,0.3,-6.3
Obi Toppin,NYK,24,72,32,40,17.1,9.0,3.7,1.1,0.8,0.3,0.5,2.3
OG Anunoby,TOR,24,48,31,17,36.0,17.1,5.5,2.6,1.7,1.5,0.5,2.8
Olivier Sarr,OKC,23,22,6,16,19.1,7.0,4.2,0.9,1.0,0.3,0.7,-1.3
Omer Yurtseven,MIA,23,56,39,17,12.6,5.3,5.3,0.9,0.7,0.3,0.4,1.1
Onyeka Okongwu,ATL,21,48,26,22,20.7,8.2,5.9,1.1,0.9,0.6,1.3,2.3
Oshae Brissett,IND,23,67,19,48,23.3,9.1,5.3,1.1,0.8,0.7,0.4,-3.3
Otto Porter Jr.,GSW,28,63,41,22,22.2,8.2,5.7,1.5,0.6,1.1,0.5,3.7
P.J. Dozier,DEN,25,18,9,9,18.9,5.4,3.5,1.6,0.7,0.6,0.3,-5.0
